Ux,Uy,CellID
0.426167,-0.995696,8657
0.638913,0.586706,8980
1.06777,0.354794,9189
1.14543,-0.334543,9360
0.518386,-0.283058,9512
-0.0581052,-0.296238,13179
0.775953,0.196287,13502
0.595724,-0.285122,13711
1.13821,0.0332715,13882
0.827285,-0.0761328,14034
