Ux,Uy,p,CellID
0.932402,0.0523991,0.0857683,0
1.15195,0.0152752,0.0765342,1
0.996794,-0.0720257,0.112227,2
0.870586,-0.179242,0.061053,3
1.11211,-0.126355,0.0865186,4
0.956486,-0.157311,0.07112,5
1.18828,-0.0179573,0.122291,6
1.05735,0.0325639,0.0990245,7
0.875638,0.011438,0.117328,8
0.957497,-0.0447075,0.105889,9
0.944413,-0.0579413,0.11385,10
1.10866,-0.024929,0.120658,11
0.851876,-0.0357334,0.136834,12
0.941426,0.0564257,0.144634,13
0.984596,-0.0333419,0.150108,14
1.00488,0.0142848,0.150494,15
1.05587,-0.0191836,0.154538,16
0.947778,-0.0124787,0.157005,17
0.956189,-0.0476679,0.158831,18
0.950249,-0.0257586,0.159571,19
0.998373,-0.025222,0.161754,20
1.02639,-0.0177759,0.16203,21
1.01581,-0.0261502,0.163073,22
0.996864,-0.0258323,0.163541,23
0.98194,-0.0251046,0.164082,24
0.974689,-0.0215186,0.164549,25
0.974805,-0.0184355,0.164929,26
0.979602,-0.0154734,0.165175,27
0.986459,-0.0129792,0.165354,28
1.03432,-0.366889,0.0834177,29
0.911313,0.126373,0.055334,30
1.12843,0.140697,0.0919053,31
1.17529,0.138173,0.0576255,32
0.896284,0.0139541,0.122468,33
0.967564,-0.065686,0.0591369,34
0.582325,-0.0414852,0.109781,35
0.922011,0.176142,0.0782066,36
1.21083,0.160117,0.0829223,37
1.14229,0.168806,0.0977524,38
0.996495,0.139133,0.111185,39
0.873446,0.121394,0.112607,40
0.983322,0.168268,0.116287,41
1.10379,-0.0560511,0.152212,42
1.1165,0.0392116,0.140175,43
0.958033,-0.0905298,0.155877,44
1.00626,-0.0173141,0.148242,45
1.13722,-0.0356945,0.161246,46
1.06276,0.0293135,0.155292,47
0.956147,0.00114247,0.165239,48
0.953721,0.00947215,0.159513,49
0.98601,0.00374414,0.162789,50
1.01737,0.0214723,0.161006,51
0.994922,0.0231368,0.161433,52
0.977289,0.0247864,0.161944,53
0.971293,0.021672,0.162565,54
0.967672,0.019282,0.163144,55
0.963196,0.0172989,0.163679,56
0.959076,0.0158689,0.164143,57
1.04374,0.269745,0.0782446,58
0.864303,-0.0622394,0.0603075,59
1.01975,-0.0778968,0.104377,60
0.986811,0.245469,0.0887198,61
1.17964,0.193674,0.0899174,62
1.01129,0.470739,0.0503767,63
0.950896,0.0461135,0.121712,64
0.881587,-0.391866,0.0540268,65
0.896792,-0.236027,0.0739943,66
1.00503,-0.0405999,0.119841,67
1.04929,-0.0354118,0.12548,68
1.00189,-0.113279,0.121401,69
1.2166,-0.174347,0.108399,70
1.08779,-0.177381,0.152044,71
1.08327,-0.00247287,0.144112,72
1.10327,-0.0896146,0.150923,73
0.933773,-0.0290956,0.145549,74
0.790833,-0.016308,0.160054,75
0.875494,0.0607035,0.157345,76
1.03607,0.0147198,0.163969,77
1.0224,0.00438441,0.160945,78
0.97927,-0.0381981,0.162374,79
0.950917,-0.041572,0.161092,80
0.983131,-0.0542557,0.162371,81
1.00666,-0.0537907,0.162957,82
1.01221,-0.0558844,0.164046,83
1.01113,-0.0561542,0.164875,84
1.01015,-0.0577076,0.165296,85
1.01151,-0.0599337,0.165528,86
0.953685,0.251783,0.0796268,87
1.11022,-0.215363,0.0480943,88
0.888952,-0.0171815,0.112757,89
1.03152,-0.0608894,0.0555049,90
0.750964,-0.115434,0.111018,91
1.07251,0.28894,0.0288885,92
1.34552,0.167436,0.0833995,93
1.14507,-0.085208,0.0384887,94
0.791857,-0.00961886,0.0839148,95
0.921063,-0.239495,0.127569,96
1.10067,-0.103099,0.122013,97
1.07554,-0.221106,0.119573,98
1.14069,-0.288329,0.0728404,99
0.711135,-0.0289382,0.122923,100
0.987172,-0.0649426,0.155634,101
1.01834,0.0643204,0.129232,102
0.828874,0.0842766,0.138442,103
0.862094,0.0986712,0.141707,104
0.984413,0.0248837,0.149252,105
1.12542,0.0608959,0.150375,106
1.14526,0.0473999,0.155391,107
1.1267,0.061504,0.156805,108
1.07322,0.0599951,0.159225,109
1.02441,0.063207,0.161484,110
0.992046,0.064526,0.162951,111
0.985195,0.0604085,0.16437,112
0.994839,0.0542103,0.165658,113
1.00965,0.0461207,0.166894,114
1.02106,0.038358,0.167758,115
1.01004,-0.216322,0.0869396,116
1.04301,-0.180849,0.0415568,117
0.881878,0.0288376,0.0985055,118
1.09985,-0.127129,0.0525095,119
0.868653,0.0167751,0.0814375,120
0.850242,-0.438716,0.0217181,121
1.29815,0.150094,0.07906,122
1.05452,0.229773,0.0822091,123
1.04689,0.256487,0.100124,124
1.05665,-0.12318,0.143362,125
1.04368,0.0514809,0.12287,126
1.26165,0.00333609,0.128144,127
0.936178,0.154652,0.0741057,128
0.72416,0.207542,0.112223,129
0.948652,0.0600158,0.143444,130
0.859265,0.149992,0.155179,131
0.869595,-0.0204011,0.16739,132
0.979772,-0.0346756,0.161497,133
0.947355,-0.0854707,0.162155,134
0.987738,-0.0137251,0.155177,135
1.03533,-0.00934509,0.163099,136
