Ux,Uy,p,CellID
1.03752,0.0211817,0.0981851,0
0.997153,-0.0148619,0.090932,1
0.977285,-0.0748665,0.0729921,2
0.899436,0.0942722,0.0806185,3
1.05189,-0.0551204,0.0854031,4
1.28759,-0.10348,0.0950743,5
0.981976,-0.111459,0.117865,6
0.900183,-0.0769598,0.109146,7
0.98681,-0.0807183,0.118942,8
1.02727,0.0323395,0.124994,9
1.15103,0.0525437,0.122378,10
0.974975,0.00538687,0.132033,11
1.0268,-0.100849,0.116559,12
0.94333,-0.028267,0.134183,13
0.923489,-0.0270171,0.137841,14
1.16386,0.00268397,0.142324,15
1.09846,0.00680169,0.145331,16
0.960552,0.0239679,0.149186,17
0.846411,0.0274057,0.152272,18
0.81526,0.0249613,0.154577,19
0.801114,0.0223328,0.156546,20
0.8473,0.0209662,0.158398,21
0.919552,0.00846905,0.160082,22
0.95812,-0.000104814,0.160862,23
0.965304,-0.00581427,0.16163,24
0.963484,-0.00541297,0.162134,25
0.964096,-0.00269228,0.162515,26
0.96947,0.00124077,0.162726,27
0.978045,0.00505972,0.162806,28
0.942826,0.0191705,0.0929252,29
1.06535,0.128936,0.0710434,30
0.945989,0.128821,0.0958479,31
1.10453,-0.064867,0.0794042,32
1.12221,-0.241486,0.0530837,33
0.734523,0.00205811,0.0673995,34
0.947935,0.102439,0.0863107,35
1.088,0.110023,0.0841128,36
0.894645,-0.0169439,0.125244,37
0.76829,-0.0785993,0.121899,38
0.896447,0.00504803,0.140888,39
1.28716,0.11656,0.125923,40
1.04415,0.164143,0.126964,41
0.909054,0.052297,0.133032,42
1.02731,-0.0341112,0.133388,43
0.728134,-0.00332664,0.138202,44
0.840656,0.0540372,0.141261,45
0.97223,0.0490829,0.143718,46
1.15497,0.0356538,0.144678,47
1.21785,0.0162185,0.146851,48
1.21433,-0.0236843,0.150399,49
1.22435,-0.0471443,0.151285,50
1.18773,-0.044522,0.152639,51
1.12468,-0.039279,0.154906,52
1.06074,-0.0353322,0.156431,53
1.00872,-0.0363188,0.157164,54
0.9727,-0.0399865,0.157485,55
0.951201,-0.0444646,0.157575,56
0.940575,-0.0483794,0.157605,57
0.980997,0.0777372,0.0943647,58
0.977976,-0.309792,0.0883309,59
1.02731,-0.0869521,0.0564496,60
1.16318,0.029227,0.0861844,61
1.01162,0.156389,0.0504729,62
1.01974,0.202808,0.0667171,63
0.918217,-0.174426,0.0862323,64
1.05802,0.014619,0.0807915,65
1.15154,-0.0988035,0.0989203,66
0.954295,0.031189,0.0877282,67
0.83814,-0.119366,0.111917,68
0.740539,-0.00985598,0.0988981,69
1.13517,0.161062,0.123409,70
1.31308,0.0867126,0.110483,71
1.02992,0.0840218,0.13533,72
0.928134,0.0495679,0.132021,73
0.99234,-0.0711027,0.144958,74
1.03489,-0.123496,0.134961,75
0.944751,-0.131355,0.141728,76
1.03579,-0.0820586,0.150485,77
1.05433,-0.0545191,0.156521,78
0.934871,-0.00542873,0.157619,79
0.878917,0.0270366,0.158121,80
0.904465,0.0520505,0.157072,81
0.954474,0.0649368,0.156503,82
1.00106,0.0688865,0.157115,83
1.0337,0.066997,0.158215,84
1.05005,0.0615081,0.1596,85
1.0528,0.0546516,0.160958,86
1.04249,-0.0759105,0.0926617,87
1.11764,0.00122407,0.0604018,88
0.805479,-0.281747,0.0629431,89
0.963115,-0.0296232,0.0860089,90
0.96043,0.205107,0.0559987,91
1.00333,0.10102,0.0845462,92
1.05832,0.170763,0.0918037,93
1.02324,-0.0292472,0.100109,94
0.914145,0.175009,0.11451,95
0.866259,0.0539536,0.118594,96
0.971707,0.103973,0.132814,97
0.888038,-0.0618336,0.100446,98
0.881082,-0.192488,0.108511,99
1.14432,0.13849,0.0964631,100
1.08093,0.00659397,0.15456,101
1.07928,-0.00143323,0.162425,102
1.21176,0.0156809,0.152967,103
1.16029,-0.00260978,0.155749,104
0.99973,0.0049433,0.150436,105
0.990346,-0.0233681,0.157452,106
0.944859,-0.00430714,0.15643,107
0.906349,-0.0170402,0.1593,108
0.913212,-0.0268731,0.157975,109
0.927856,-0.0382444,0.156823,110
0.955539,-0.039616,0.156143,111
0.992703,-0.0370635,0.156339,112
1.02914,-0.0325687,0.157736,113
1.05734,-0.0275674,0.159321,114
1.07522,-0.023146,0.160863,115
1.0162,-0.298383,0.0865951,116
1.11596,0.292566,0.0689497,117
1.02867,0.00203886,0.0459122,118
0.829864,-0.31614,0.0750201,119
0.960751,-0.00347588,0.0502475,120
1.03235,-0.252851,0.0583657,121
1.05647,0.102341,0.0817007,122
1.01057,-0.13681,0.104046,123
1.03161,0.160037,0.105776,124
1.02479,-0.179149,0.107792,125
0.895952,-0.0858041,0.106932,126
1.14033,-0.0228908,0.0963889,127
0.734518,-0.0778811,0.0916183,128
1.06465,-0.0941937,0.120606,129
1.33214,-0.223062,0.132373,130
0.867514,-0.235362,0.159582,131
1.02157,-0.129052,0.149405,132
1.04434,-0.0679737,0.169565,133
1.02319,-0.0437799,0.164808,134
1.02222,-0.0585506,0.170857,135
1.02428,-0.0486135,0.169425,136
0.99866,-0.0750472,0.171219,137
0.975346,-0.07587,0.170853,138
0.950999,-0.0844274,0.171942,139
0.955825,-0.0880346,0.172467,140
0.970406,-0.0922923,0.172911,141
0.983993,-0.0935629,0.173183,142
0.993,-0.0920078,0.173607,143
0.998126,-0.0883907,0.174225,144
1.05684,-0.289314,0.0826268,145
0.90631,0.0584129,0.0512533,146
1.19787,0.369826,0.0260319,147
0.913696,-0.208059,0.0869921,148
0.940031,-0.227649,0.0539632,149
0.954902,-0.195328,0.0695808,150
1.0201,-0.256369,0.0833662,151
0.955753,-0.177889,0.0894771,152
0.971661,-0.158577,0.120671,153
1.17925,-0.0546111,0.098924,154
0.802515,-0.244551,0.0958182,155
0.919944,-0.106676,0.0980539,156
0.965687,-0.0159547,0.0788844,157
1.2979,-0.403561,0.0782454,158
1.36058,-0.275883,0.0782286,159
0.810993,-0.232254,0.107136,160
0.890767,-0.187617,0.134834,161
0.932324,-0.140788,0.15062,162
1.00901,-0.114975,0.154138,163
0.94493,-0.111763,0.160181,164
0.978551,-0.0564608,0.164165,165
0.961204,-0.0327911,0.168387,166
0.950361,-0.0124263,0.16956,167
0.960172,-0.016982,0.171684,168
0.986841,-0.0187786,0.173362,169
1.00458,-0.0226327,0.174909,170
1.00905,-0.0230587,0.176069,171
1.00289,-0.0238893,0.176976,172
0.989811,-0.0239071,0.177739,173
1.13096,-0.0301315,0.0697501,174
0.779117,-0.090536,-0.00543613,175
1.19517,0.228174,0.0228892,176
1.12477,0.122419,0.0880144,177
0.942382,-0.328484,0.0511903,178
1.00705,-0.164514,0.0717743,179
1.00104,-0.145255,0.089371,180
0.957964,0.152817,0.0810594,181
0.891445,-0.108565,0.10728,182
1.15978,0.151629,0.113616,183
0.964255,-0.097754,0.126418,184
0.810474,-0.311519,0.100395,185
1.19167,-0.0932194,0.12539,186
1.43882,-0.396157,0.0476696,187
1.04726,-0.0426946,0.0304072,188
0.733858,-0.0522074,0.0815441,189
0.853873,-0.000759292,0.120541,190
0.8893,-0.0547244,0.143605,191
1.02211,-0.0354675,0.145453,192
0.868848,-0.0607459,0.15374,193
0.822504,-0.0238152,0.160609,194
0.876622,-0.0148729,0.165788,195
0.954889,-0.0135169,0.168168,196
0.993099,-0.0250547,0.171151,197
0.992604,-0.0206273,0.173352,198
0.986016,-0.0121118,0.175745,199
0.984892,-0.000283323,0.177607,200
0.985148,0.00930128,0.179116,201
0.981856,0.0166072,0.180294,202
1.11701,0.273891,0.0673197,203
0.801197,-0.158332,0.0142339,204
1.09844,-0.13537,0.0344554,205
1.23728,0.329708,0.0779924,206
1.06891,-0.29358,0.0346885,207
0.832436,-0.130862,0.0527505,208
0.781729,0.280815,0.0589285,209
0.964983,0.425108,0.0685344,210
0.987032,0.165785,0.0789977,211
1.14948,0.0382035,0.115096,212
1.26169,0.0923502,0.085848,213
0.845314,-0.313982,0.0988675,214
1.0763,0.0259188,0.187126,215
1.26275,-0.0139666,0.0977404,216
0.86228,0.282991,0.0378897,217
0.790271,0.0608564,0.123304,218
0.916512,0.0705455,0.126452,219
0.96552,-0.0556319,0.155877,220
1.0134,0.0133791,0.153263,221
0.882811,0.0145213,0.162294,222
0.832083,0.0180074,0.16527,223
0.921288,-0.000810955,0.17332,224
0.992671,-0.00381668,0.175908,225
0.981471,0.00189759,0.17887,226
0.933819,0.0150565,0.181223,227
0.903104,0.0246786,0.183547,228
0.89305,0.0354863,0.1857,229
0.896153,0.0449784,0.187505,230
0.906083,0.0525755,0.188932,231
1.0804,0.403225,0.0667527,232
0.929249,-0.264814,0.034671,233
0.94011,-0.125416,0.0378824,234
1.24487,0.250693,0.075755,235
1.20851,-0.145465,0.0100287,236
0.633606,0.129932,-0.00756905,237
0.672524,0.443394,-0.00410152,238
1.04052,0.181042,0.0076998,239
1.18903,0.289477,0.0380367,240
1.1647,-0.252785,0.0912069,241
1.35084,0.133397,0.0497473,242
0.843699,-0.0649549,0.122813,243
0.840073,0.235381,0.127769,244
1.08809,0.274912,0.109425,245
0.986511,0.293408,0.0977666,246
1.02787,0.0325323,0.148529,247
1.05,-0.0491056,0.14151,248
0.954792,-0.122164,0.160344,249
