Ux,Uy,CellID
0.965433,-0.0425568,229
0.963197,-0.0417527,230
0.961626,-0.0409376,231
1.00915,-0.00190144,232
1.00982,-0.0065835,233
1.01098,-0.0106469,234
1.01246,-0.0153231,235
1.01414,-0.020092,236
1.01578,-0.0253279,237
1.01716,-0.0308648,238
1.01803,-0.0366697,239
1.01818,-0.0425818,240
1.01742,-0.0484106,241
1.01567,-0.0539376,242
1.01293,-0.0589394,243
1.00929,-0.0632271,244
1.00494,-0.0666444,245
1.00007,-0.0691011,246
0.994841,-0.0706298,247
0.989316,-0.0715083,248
0.983518,-0.0722445,249
0.977469,-0.0730385,250
0.970864,-0.0735336,251
0.962636,-0.0730794,252
0.952882,-0.0712886,253
0.946174,-0.0686083,254
0.94695,-0.0659468,255
0.951398,-0.0633042,256
0.953696,-0.060458,257
0.953811,-0.0577985,258
0.953219,-0.0554684,259
0.952388,-0.0534584,260
1.01042,-0.00196987,261
1.0112,-0.0068009,262
1.01255,-0.0110011,263
1.0143,-0.0158475,264
1.01633,-0.0208186,265
1.01839,-0.0263424,266
1.02024,-0.0322762,267
1.02159,-0.0386316,268
1.02218,-0.0452638,269
1.02177,-0.0519982,270
1.02021,-0.0585965,271
1.01747,-0.0647956,272
1.0136,-0.0703412,273
1.00876,-0.0750093,274
1.00313,-0.0786895,275
0.996916,-0.0813158,276
0.990407,-0.0826989,277
0.983939,-0.082476,278
0.977859,-0.0804519,279
0.972845,-0.0771073,280
0.970599,-0.0735612,281
0.972236,-0.0708657,282
0.973767,-0.0691774,283
0.968743,-0.0675731,284
0.958959,-0.0658672,285
0.951304,-0.0646053,286
0.946836,-0.0634535,287
0.943757,-0.0622124,288
0.941457,-0.0609569,289
1.01163,-0.00202001,290
1.0125,-0.0069503,291
1.01402,-0.0112392,292
1.01603,-0.0162017,293
1.01841,-0.0213107,294
1.0209,-0.0270464,295
1.02326,-0.0333003,296
1.02515,-0.0401239,297
1.02629,-0.0474092,298
1.02638,-0.0550032,299
1.02521,-0.0626612,300
1.02267,-0.0701016,301
1.01877,-0.0770272,302
1.01358,-0.0831471,303
1.0073,-0.0882076,304
1.00016,-0.0920183,305
0.992341,-0.0945517,306
0.983892,-0.0961955,307
0.974948,-0.097653,308
0.965771,-0.0991045,309
0.955986,-0.0999026,310
0.944789,-0.0990902,311
0.934647,-0.0963795,312
0.931239,-0.092971,313
0.933862,-0.0896489,314
0.935418,-0.0859584,315
0.934268,-0.0823123,316
0.932514,-0.0791503,317
0.930725,-0.0764056,318
1.01275,-0.00205708,319
1.01371,-0.00705019,320
1.01539,-0.0113904,321
1.01765,-0.0164224,322
1.02036,-0.0216145,323
1.02329,-0.0274983,324
1.02615,-0.033994,325
1.02864,-0.0411993,326
1.03041,-0.0490498,327
1.03113,-0.0574291,328
1.0305,-0.0661149,329
1.02834,-0.0748156,330
1.02457,-0.0832102,331
1.01923,-0.0909385,332
1.01243,-0.0976615,333
1.00438,-0.103179,334
0.995291,-0.107338,335
0.985612,-0.109815,336
0.976142,-0.110053,337
0.967781,-0.107841,338
0.961694,-0.104032,339
0.959422,-0.10025,340
0.959264,-0.0978671,341
0.954207,-0.096345,342
0.94249,-0.0944515,343
0.931816,-0.0927521,344
0.925641,-0.0912637,345
0.92138,-0.0894929,346
0.918045,-0.0876441,347
1.01378,-0.00208419,348
1.01482,-0.00711354,349
1.01665,-0.0114773,350
1.01914,-0.0165417,351
1.02217,-0.0217731,352
1.02551,-0.0277467,353
1.0289,-0.0344074,354
1.03201,-0.0419074,355
1.03446,-0.0502282,356
1.0359,-0.0593019,357
1.03595,-0.0689464,358
1.03437,-0.0788784,359
1.03099,-0.0887594,360
1.02577,-0.0981893,361
1.01877,-0.106758,362
1.01014,-0.114096,363
1.00016,-0.119849,364
0.9891,-0.123907,365
0.977234,-0.126874,366
0.964856,-0.12966,367
0.952129,-0.132269,368
0.938513,-0.133463,369
0.924777,-0.131748,370
0.916123,-0.12757,371
0.915271,-0.123085,372
0.915506,-0.118568,373
0.912511,-0.113856,374
0.908893,-0.109765,375
0.905701,-0.106238,376
1.01473,-0.00210397,377
1.01584,-0.00714979,378
1.01781,-0.0115164,379
1.0205,-0.0165866,380
1.02383,-0.0218201,381
1.02757,-0.0278306,382
1.03146,-0.0345893,383
1.03519,-0.0422959,384
1.03838,-0.0509886,385
1.0406,-0.0606485,386
1.04148,-0.0711392,387
1.04067,-0.0822172,388
1.03793,-0.0935374,389
1.03312,-0.10469,390
1.02618,-0.115205,391
1.01717,-0.124623,392
1.00623,-0.13262,393
0.993669,-0.13895,394
0.980354,-0.143121,395
0.967742,-0.144226,396
0.957234,-0.142026,397
0.950087,-0.138003,398
0.945933,-0.134739,399
0.93938,-0.133403,400
0.925945,-0.131826,401
0.911607,-0.129336,402
0.902671,-0.127092,403
0.89669,-0.124497,404
0.891747,-0.121627,405
1.01559,-0.00211758,406
1.01676,-0.00716648,407
1.01885,-0.0115226,408
1.02173,-0.016577,409
1.02534,-0.0217825,410
1.02944,-0.0277865,411
1.03383,-0.0345817,412
1.03818,-0.0424138,413
1.0421,-0.0513771,414
1.04518,-0.0615015,415
1.04697,-0.0727098,416
1.04708,-0.0848131,417
1.04516,-0.0974907,418
1.04097,-0.110346,419
1.03436,-0.122895,420
1.02526,-0.134611,421
1.01382,-0.145003,422
1.00044,-0.153537,423
0.985741,-0.160001,424
0.970102,-0.165155,425
0.953634,-0.169974,426
0.936389,-0.173877,427
0.918504,-0.174577,428
0.903253,-0.170741,429
0.895706,-0.165058,430
0.892938,-0.159793,431
0.887928,-0.154012,432
0.881703,-0.1485,433
0.876491,-0.143811,434
1.01636,-0.00212637,435
1.0176,-0.00716885,436
