Ux,Uy,p,CellID
0.975042,0.0299102,0.0925304,0
0.909948,-0.0326416,0.0760675,1
0.819393,-0.0875286,0.0850806,2
0.937658,-0.00681399,0.0845628,3
0.90911,-0.13616,0.0987148,4
0.932733,0.172061,0.0941935,5
0.959047,0.00482342,0.103907,6
1.11183,0.242123,0.095108,7
0.988865,0.0396529,0.0987112,8
0.79741,0.132687,0.134966,9
1.05337,-0.0462623,0.160971,10
1.26498,0.049091,0.163372,11
1.12065,0.0435142,0.148401,12
0.948237,0.0417805,0.153744,13
0.992893,0.0375031,0.159179,14
1.02911,0.00113674,0.166281,15
1.07578,0.0324217,0.165413,16
1.09664,0.0294951,0.164725,17
0.982156,0.0117777,0.167867,18
0.951776,0.0323008,0.167991,19
0.91882,0.0382947,0.169031,20
0.943613,0.039665,0.170218,21
0.969265,0.0400526,0.170881,22
0.992545,0.039187,0.171294,23
1.01356,0.0373196,0.171582,24
1.03133,0.0346127,0.171886,25
1.04339,0.0320741,0.172076,26
1.04926,0.0300196,0.172244,27
1.05071,0.0284439,0.172381,28
0.99972,0.140861,0.074071,29
1.15057,0.113476,0.0256041,30
1.143,0.242016,0.0734143,31
1.12048,-0.18448,0.0717083,32
0.912369,0.212196,0.0729077,33
0.983162,-0.425037,0.0770545,34
0.918362,-0.0798589,0.0785864,35
0.860512,-0.201882,0.107528,36
1.16075,-0.058944,0.0880614,37
1.32222,-0.290616,0.0852264,38
1.05206,-0.244898,0.110579,39
0.517975,-0.109984,0.138593,40
0.930855,-0.0567827,0.153751,41
1.07192,-0.1242,0.138051,42
1.1128,-0.171284,0.132845,43
0.94322,-0.0633468,0.156006,44
0.806157,-0.0608524,0.161884,45
0.992906,0.00404295,0.16501,46
1.00327,-0.0105076,0.1682,47
0.94434,-0.0283315,0.16686,48
1.04542,-0.0409646,0.166872,49
1.0312,-0.0303272,0.166408,50
1.02159,-0.0203121,0.166339,51
1.01696,-0.0153322,0.166768,52
1.01368,-0.013419,0.167522,53
1.00496,-0.0103628,0.168135,54
0.99377,-0.00676729,0.168675,55
0.984986,-0.00360023,0.169135,56
0.980289,-0.00130672,0.169542,57
0.876451,-0.230477,0.0806664,58
0.894337,0.0550817,0.0399338,59
1.07495,-8.32148e-05,0.082114,60
0.932462,0.0316725,0.0757897,61
1.13551,-0.0174887,0.0775485,62
1.12976,-0.196444,0.0873997,63
0.752409,0.125059,0.0892742,64
1.08009,-0.27503,0.104818,65
1.14409,-0.169711,0.0839698,66
1.06012,-0.190481,0.0808621,67
0.733416,0.328759,0.044673,68
0.968373,0.081678,0.104957,69
1.15016,0.0675833,0.167773,70
1.19458,0.107121,0.131418,71
0.873575,0.10866,0.133794,72
0.789996,0.103927,0.142339,73
0.926474,-0.0281821,0.151426,74
0.938136,-0.00643013,0.15572,75
1.10376,0.0309737,0.158508,76
1.08792,-0.0133065,0.161911,77
0.935114,-0.0330836,0.16458,78
0.867498,-0.0478258,0.166207,79
0.914849,-0.0565241,0.167525,80
0.965931,-0.0532527,0.168468,81
0.98021,-0.0428807,0.168846,82
0.98169,-0.0326403,0.168861,83
0.987172,-0.026285,0.169112,84
0.998595,-0.0225714,0.169446,85
1.01213,-0.0206946,0.169865,86
1.0368,0.02809,0.0586872,87
0.982381,-0.0668269,0.020738,88
1.15465,-0.214179,0.0886749,89
1.09538,-0.0290179,0.0575652,90
1.07944,-0.35153,0.0451946,91
0.832706,0.321862,0.0921615,92
0.992375,0.0203097,0.0951563,93
1.1465,0.0085353,0.160063,94
1.08431,0.151111,0.0629071,95
0.741389,0.16378,0.153617,96
0.773744,-0.0190086,0.0923574,97
0.950644,-0.038555,0.134513,98
0.765596,0.0844726,0.104449,99
1.06184,0.264121,0.0892575,100
1.10801,0.138932,0.129199,101
1.24899,0.0245354,0.146077,102
1.07094,0.00469644,0.151801,103
0.780825,0.00158983,0.153655,104
1.06521,-0.0228925,0.156139,105
1.17842,-0.00722186,0.16175,106
1.16513,-0.0190914,0.163686,107
1.12347,-0.059332,0.16431,108
1.04787,-0.0904182,0.163501,109
0.932539,-0.0984555,0.16453,110
0.88104,-0.0958274,0.167344,111
0.891027,-0.0932587,0.169777,112
0.917274,-0.0917622,0.171378,113
0.938506,-0.0918879,0.172345,114
0.952159,-0.0916835,0.173086,115
0.940749,0.208871,0.0947879,116
1.0687,-0.349997,0.0392441,117
1.01394,-0.105543,0.124154,118
1.07986,0.138159,0.0661552,119
0.922004,0.181655,0.0714588,120
0.851138,0.159068,0.0873912,121
1.09331,-0.109328,0.0785245,122
0.874211,0.138061,0.0950317,123
1.02841,0.341676,0.0494119,124
1.14598,0.16757,0.116318,125
0.985652,-0.0768017,0.112006,126
0.838051,-0.106951,0.132132,127
0.684689,-0.15668,0.0883113,128
1.10953,-0.174516,0.0852471,129
1.28308,-0.0488335,0.14104,130
1.03952,-0.0181266,0.156255,131
0.983778,0.136641,0.157589,132
1.01688,-0.0535284,0.168245,133
1.12548,-0.0766867,0.166133,134
1.04687,-0.0787346,0.169072,135
1.10998,-0.00861222,0.169469,136
1.12427,0.0143959,0.170557,137
1.06775,0.0439439,0.166279,138
0.972515,0.0415543,0.167759,139
0.933914,0.0324215,0.171001,140
0.950274,0.0191897,0.174031,141
0.981553,0.00739827,0.175962,142
1.00059,-0.00161212,0.177094,143
1.0036,-0.00831157,0.177879,144
1.06108,-0.148175,0.072949,145
1.11933,-0.358541,0.00616094,146
0.819764,-0.00114557,0.0827498,147
0.940042,0.263377,0.0641156,148
1.02271,0.380325,0.0554401,149
1.04783,-0.0143841,0.0981997,150
1.03868,0.0537967,0.0879437,151
0.768784,0.0383409,0.0802012,152
1.07443,-0.0986526,0.0356334,153
1.19403,-0.00731452,0.125191,154
1.09329,0.0420822,0.117911,155
1.01622,-0.0434352,0.138338,156
0.872531,-0.187106,0.132121,157
0.920341,-0.350539,0.118014,158
0.854955,-0.0506527,0.157441,159
0.866767,-0.0088101,0.14669,160
1.20132,0.0706518,0.14069,161
1.28183,-0.113851,0.15678,162
1.1024,0.000517942,0.152113,163
0.951751,-0.050225,0.164817,164
0.896242,0.018456,0.165912,165
0.963669,0.0245821,0.173374,166
0.991552,0.0581022,0.173052,167
0.996509,0.0458658,0.177721,168
1.01155,0.0414385,0.17928,169
1.03675,0.0291622,0.1817,170
1.05497,0.0237484,0.18373,171
1.05593,0.0201416,0.185323,172
1.04366,0.0190085,0.186543,173
1.1692,-0.182268,0.070297,174
1.04852,0.0739596,-0.0112451,175
0.730959,0.0689578,0.0681906,176
0.901602,-0.00550835,0.0558194,177
1.13119,-0.00626664,0.0352097,178
1.03599,-0.163768,0.106878,179
1.01631,0.177903,0.0725067,180
0.977889,-0.124695,0.0987526,181
1.08548,-0.472532,0.0652845,182
0.979377,-0.169322,0.117524,183
1.03407,-0.160651,0.128306,184
1.06157,0.016148,0.130673,185
1.07101,-0.0690911,0.127537,186
0.900521,-0.131386,0.120699,187
0.70129,-0.136953,0.135701,188
0.816036,-0.0539441,0.125021,189
1.28836,-0.0494417,0.138389,190
1.17987,-0.019033,0.153787,191
1.0069,0.0331522,0.149223,192
0.989408,0.0163492,0.165613,193
0.894311,-0.0118462,0.166644,194
0.969156,-0.0344434,0.171896,195
1.01592,-0.0496925,0.175256,196
1.02667,-0.0613072,0.179506,197
1.02967,-0.0633981,0.182394,198
1.03698,-0.0621265,0.185485,199
1.03593,-0.0558432,0.188039,200
1.0275,-0.0497148,0.19032,201
1.01606,-0.0441993,0.19209,202
1.07882,0.361995,0.0802222,203
1.0209,0.413483,0.0137679,204
0.840192,0.136092,0.100649,205
0.950188,-0.307701,0.0698488,206
1.14475,-0.227168,0.0421995,207
0.914679,-0.378501,0.0870965,208
1.00699,0.00141079,0.0450512,209
1.24663,-0.336462,0.057942,210
1.0673,-0.280114,0.0888647,211
0.919519,-0.218983,0.0962656,212
0.940349,-0.223431,0.110734,213
0.938253,-0.0691183,0.111555,214
1.10629,-0.00503853,0.105289,215
0.998932,-0.0386299,0.102549,216
0.662844,-0.107028,0.129662,217
0.729474,-0.0201159,0.123142,218
1.17238,-0.0764274,0.144671,219
1.10951,0.0209251,0.161668,220
1.0206,-0.0658169,0.171796,221
1.04878,0.0047801,0.171957,222
1.01616,-0.0706871,0.180138,223
1.05057,-0.0541994,0.180984,224
1.08002,-0.0793186,0.186269,225
1.05851,-0.0701231,0.18898,226
1.0338,-0.0787371,0.192559,227
1.01439,-0.0741904,0.195441,228
0.999277,-0.072621,0.19782,229
0.99044,-0.0694281,0.199851,230
0.985702,-0.0673639,0.201538,231
0.9031,0.613977,0.0539894,232
1.1306,0.236743,0.00410637,233
1.01436,0.231693,0.119424,234
1.02816,-0.340626,0.0811629,235
1.17626,-0.0928928,0.031145,236
0.892504,-0.3271,0.0836722,237
1.03112,-0.245575,0.0682575,238
1.2354,-0.591789,0.0256802,239
0.947233,0.0266746,0.0792024,240
0.945137,-0.228189,0.09765,241
0.911402,-0.0695992,0.103686,242
0.852269,-0.231117,0.0982936,243
1.07096,-0.0143017,0.096265,244
1.06415,-0.145776,0.106561,245
0.594922,0.00436149,0.114343,246
0.811521,-0.0887836,0.111787,247
1.18841,-0.172145,0.127514,248
1.16453,-0.106838,0.157757,249
0.99817,-0.165621,0.17275,250
1.01777,-0.0710687,0.175191,251
1.03198,-0.113767,0.18544,252
1.00308,-0.0750373,0.186643,253
1.03881,-0.0829319,0.192918,254
1.034,-0.0639576,0.195688,255
1.02242,-0.0668829,0.199818,256
1.00434,-0.0585032,0.202309,257
0.99293,-0.0575963,0.204796,258
0.987439,-0.0558184,0.206825,259
0.983236,-0.0554379,0.208572,260
0.811406,0.344232,0.0351812,261
1.19037,-0.161304,-0.0211915,262
1.06965,0.315745,0.110964,263
1.08264,-0.213791,0.0802453,264
1.14015,-0.0105775,0.0290787,265
0.947894,0.0381857,0.101214,266
1.17595,-0.235775,0.0748808,267
1.07259,-0.554419,0.0255066,268
0.829271,0.0725653,0.053663,269
0.996752,-0.290747,0.0934654,270
0.934203,-0.0395776,0.0909001,271
0.848621,-0.344233,0.0965434,272
1.03525,-0.100071,0.0957252,273
0.987953,-0.246068,0.140011,274
0.585828,-0.0023608,0.0921792,275
1.02795,-0.269846,0.108815,276
1.15953,-0.307544,0.132934,277
1.10448,-0.19343,0.154558,278
0.922008,-0.157816,0.169919,279
0.974568,-0.115616,0.175024,280
1.02298,-0.110825,0.185079,281
1.00359,-0.101913,0.191265,282
1.03973,-0.106882,0.199254,283
1.03015,-0.0948775,0.204634,284
1.00281,-0.0867217,0.209288,285
0.983168,-0.0732302,0.212178,286
0.979071,-0.0660365,0.215022,287
0.979362,-0.0606459,0.217324,288
0.977651,-0.0580989,0.219357,289
0.830584,0.0452377,0.0503519,290
1.1444,-0.344308,-0.00775032,291
1.03901,0.28307,0.0908611,292
1.16312,-0.128737,0.0698642,293
1.03188,-0.117973,0.0403627,294
0.980906,0.289873,0.0901369,295
1.37185,-0.133569,-0.00262821,296
0.985844,-0.152722,0.00535396,297
0.815827,0.0433267,0.057234,298
1.04024,-0.287348,0.0889642,299
0.97227,-0.149882,0.0645916,300
0.863992,-0.344038,0.0949991,301
1.01824,-0.203893,0.0931637,302
0.894195,-0.279166,0.146999,303
0.65027,-0.137134,0.092278,304
1.23766,-0.362687,0.0874311,305
0.997503,-0.301537,0.136705,306
0.950578,-0.185141,0.153492,307
0.867342,-0.1332,0.168148,308
0.952776,-0.150183,0.177282,309
1.00728,-0.126315,0.187612,310
1.00687,-0.148853,0.195396,311
1.00753,-0.148413,0.203216,312
0.971587,-0.142566,0.209678,313
0.932138,-0.127814,0.215207,314
0.919519,-0.112262,0.219227,315
0.927193,-0.0984366,0.22223,316
0.94189,-0.0874941,0.224666,317
0.954472,-0.0802316,0.226746,318
0.890744,-0.0668711,0.0671375,319
1.10373,-0.304733,0.0092144,320
1.00952,0.115526,0.0710457,321
1.26199,-0.142789,0.0361227,322
0.93989,-0.219579,0.0279004,323
0.976663,0.175085,0.0830745,324
1.43396,-0.110988,-0.0442228,325
0.926034,0.300205,-0.0085544,326
0.914569,0.0395464,0.0789826,327
1.096,-0.132778,0.0945906,328
1.00427,-0.200797,0.0355899,329
0.865747,-0.232207,0.0888814,330
1.01914,-0.247564,0.0992678,331
0.879967,-0.27387,0.118786,332
0.69712,-0.295378,0.102185,333
1.27631,-0.324709,0.0815347,334
0.856972,-0.161694,0.121639,335
0.878382,-0.151469,0.150404,336
0.8794,-0.140858,0.16486,337
0.943299,-0.170287,0.177514,338
1.01337,-0.129867,0.188308,339
1.04632,-0.14819,0.199712,340
1.02496,-0.135257,0.207977,341
0.971987,-0.133724,0.215292,342
0.912297,-0.126489,0.221715,343
0.884224,-0.122646,0.227038,344
0.884016,-0.115033,0.231282,345
0.899474,-0.106617,0.234646,346
0.919493,-0.0986303,0.237341,347
0.926642,-0.0413499,0.0772697,348
1.09187,-0.221887,0.0172335,349
0.989554,-0.106748,0.0666921,350
1.30575,-0.19586,0.00877505,351
0.897514,-0.193527,0.0151481,352
0.956966,-0.105497,0.0901779,353
1.32528,-0.0323821,0.00242666,354
0.898509,0.526422,0.00558455,355
1.0533,-0.0163057,0.0703637,356
1.14901,0.103687,0.0984067,357
1.03993,-0.113141,0.0150724,358
0.875338,-0.047935,0.0815464,359
1.05121,-0.198927,0.105546,360
0.93701,-0.207811,0.0917924,361
0.719411,-0.366989,0.106996,362
1.10405,-0.260473,0.119919,363
0.785253,-0.0653735,0.123052,364
0.926034,-0.156575,0.153762,365
0.922475,-0.180322,0.165338,366
0.919127,-0.202187,0.180127,367
0.984397,-0.16952,0.192074,368
1.0135,-0.165533,0.204411,369
0.973669,-0.13953,0.213298,370
0.93356,-0.133563,0.221788,371
0.892981,-0.130422,0.229054,372
0.866833,-0.130931,0.235332,373
0.856059,-0.125973,0.240556,374
0.861566,-0.118669,0.245055,375
0.876815,-0.10968,0.248704,376
0.94436,0.0110554,0.0786622,377
1.11104,-0.161209,0.0182707,378
0.98538,-0.276213,0.0741129,379
1.29096,-0.193059,0.0107977,380
0.903883,-0.0593318,0.00490664,381
0.933582,-0.273804,0.092807,382
1.15881,0.0999076,0.050735,383
0.937262,0.464874,0.031369,384
1.13495,-0.0792802,0.0467985,385
1.13299,0.271425,0.0839888,386
1.08918,0.0268386,0.0272696,387
0.907404,0.135434,0.075725,388
1.1161,-0.0994714,0.101531,389
1.02425,-0.0840771,0.0670129,390
0.766671,-0.305868,0.0933692,391
0.920718,-0.219861,0.1372,392
0.770813,-0.0771927,0.127656,393
1.00988,-0.189858,0.152059,394
0.948448,-0.198593,0.165368,395
0.900409,-0.204457,0.180891,396
0.954717,-0.185606,0.195706,397
0.981296,-0.157564,0.210331,398
0.963839,-0.129205,0.222008,399
0.952848,-0.118688,0.232233,400
0.913974,-0.111957,0.240522,401
0.871985,-0.109978,0.247682,402
0.844938,-0.107279,0.253842,403
0.835949,-0.103307,0.259055,404
0.840032,-0.0974711,0.263458,405
0.956527,0.0126349,0.0755342,406
1.15611,-0.0957531,0.00972133,407
0.987223,-0.326624,0.079144,408
1.24412,-0.0734496,0.02312,409
0.942356,0.108082,0.00198921,410
0.914858,-0.280737,0.0846006,411
1.03418,0.141751,0.0583265,412
1.00299,0.212588,0.0463361,413
1.13845,-0.0431742,0.0379869,414
1.07999,0.273189,0.0804608,415
1.12416,0.126243,0.03691,416
0.94787,0.245632,0.069592,417
1.1778,-0.00504281,0.0879859,418
1.09768,0.0567881,0.0468251,419
0.84537,-0.167704,0.0763378,420
0.836382,-0.164217,0.119256,421
0.786485,-0.113458,0.128657,422
1.06018,-0.206728,0.146515,423
0.945372,-0.173368,0.161586,424
0.89929,-0.188408,0.181939,425
0.929808,-0.197921,0.199131,426
0.921559,-0.182817,0.215072,427
0.899032,-0.162161,0.228701,428
0.887922,-0.141402,0.24044,429
0.864678,-0.123218,0.249716,430
0.843462,-0.111936,0.257766,431
0.825116,-0.103438,0.26475,432
0.815981,-0.0975477,0.270744,433
0.815783,-0.0919723,0.27578,434
0.958456,-0.0498886,0.07513,435
1.19301,-0.0125878,0.00226672,436
0.974724,-0.262339,0.0805056,437
1.17254,0.132125,0.0423069,438
0.995778,0.245429,0.00723268,439
0.916927,-0.220794,0.0783259,440
0.979773,0.0903436,0.04887,441
1.03633,-0.0736732,0.0496287,442
1.10799,0.0574282,0.0344235,443
1.05023,0.123625,0.0774286,444
1.1108,0.175983,0.0462455,445
0.985142,0.266085,0.0656485,446
1.206,0.0658728,0.0738944,447
1.14108,0.186469,0.0356617,448
0.938077,-0.026705,0.0705356,449
0.834371,-0.0775547,0.103085,450
0.822961,-0.110466,0.13023,451
1.07375,-0.18579,0.141042,452
0.930532,-0.123662,0.155959,453
0.924775,-0.159215,0.180678,454
0.940784,-0.177875,0.199128,455
0.906213,-0.169788,0.217039,456
0.893099,-0.153215,0.23384,457
0.888341,-0.137124,0.248237,458
0.864033,-0.124693,0.260389,459
0.835034,-0.116043,0.270255,460
0.813686,-0.111064,0.278196,461
0.80243,-0.106484,0.28477,462
0.796085,-0.100341,0.290156,463
0.958882,-0.146073,0.0757452,464
1.20593,0.0549076,0.00144295,465
0.951067,-0.136955,0.0772345,466
1.1062,0.322035,0.0499233,467
1.05866,0.318846,0.0145994,468
0.941182,-0.165039,0.0774906,469
0.978742,0.0337018,0.0468242,470
