Ux,Uy,CellID
0.999927,6.24118e-05,0
0.999905,-0.000897989,1
0.999928,-0.00086261,2
0.999994,-0.0018083,3
1.00002,-0.00194916,4
1.0,-0.00255846,5
0.999988,-0.00278203,6
0.999942,-0.00299204,7
1.00003,-0.00349639,8
0.999941,-0.00369905,9
1.00001,-0.00389751,10
1.00008,-0.00386845,11
1.00004,-0.00392007,12
1.00006,-0.00395806,13
1.00016,-0.00402825,14
1.00038,-0.004108,15
1.00033,-0.00399995,16
1.0002,-0.0039864,17
0.999065,-0.00382323,18
0.995669,-0.00366602,19
0.991125,-0.00382657,20
0.987006,-0.00419981,21
0.986219,-0.00453373,22
0.988356,-0.00466829,23
0.991499,-0.00465948,24
0.994446,-0.004566,25
0.995905,-0.00439945,26
0.997526,-0.00422667,27
0.998017,-0.00405341,28
1.00048,-0.000897789,29
1.0007,-0.0018326,30
1.00087,-0.00361637,31
1.00087,-0.00478199,32
1.00085,-0.00585632,33
1.0008,-0.00772958,34
1.00061,-0.00884617,35
1.00086,-0.00971221,36
1.00086,-0.0104059,37
1.00084,-0.0107578,38
1.00019,-0.0116112,39
1.00016,-0.011687,40
1.00005,-0.0119205,41
0.999827,-0.0115747,42
0.999637,-0.0112999,43
0.998564,-0.0104762,44
0.998552,-0.00992306,45
0.998646,-0.00911334,46
0.999065,-0.00832738,47
1.00348,-0.00759575,48
1.00998,-0.00645254,49
1.015,-0.00533317,50
1.01493,-0.00415372,51
1.01155,-0.00343368,52
1.00721,-0.00314809,53
1.00337,-0.00283487,54
1.00109,-0.00281419,55
0.999299,-0.00264504,56
0.998339,-0.00260786,57
1.00158,-0.000984602,58
1.00148,-0.00352522,59
1.00186,-0.00591675,60
1.00155,-0.00787907,61
1.00232,-0.00986377,62
1.00219,-0.0119658,63
1.00204,-0.0138476,64
1.00152,-0.0156581,65
1.0017,-0.0173476,66
1.00171,-0.0181311,67
1.0007,-0.0194227,68
1.00068,-0.0199045,69
0.999714,-0.0203841,70
0.999551,-0.0206621,71
0.998519,-0.0204994,72
0.998341,-0.0210815,73
0.99758,-0.0209335,74
0.996858,-0.0212696,75
0.994638,-0.0209104,76
0.989762,-0.0211225,77
0.982724,-0.0202939,78
0.977883,-0.0200964,79
0.977885,-0.0195805,80
0.982152,-0.0189311,81
0.987266,-0.0182331,82
0.990243,-0.0172628,83
0.992057,-0.016775,84
0.992843,-0.016124,85
0.992955,-0.0156541,86
1.00264,-0.000884456,87
1.00336,-0.00481588,88
1.00337,-0.00686028,89
1.00322,-0.0102293,90
1.00391,-0.0130495,91
1.00418,-0.0158825,92
1.00418,-0.0185952,93
1.00429,-0.021196,94
1.00335,-0.0235866,95
1.00313,-0.0255698,96
1.00228,-0.0267033,97
1.00133,-0.0278773,98
1.00039,-0.0281989,99
0.999634,-0.0279604,100
0.998817,-0.0274733,101
0.997958,-0.0264169,102
0.996894,-0.0251614,103
0.995739,-0.0236302,104
0.996555,-0.0221987,105
0.998641,-0.0209537,106
1.0043,-0.0199176,107
1.00848,-0.0194541,108
1.00836,-0.0184797,109
1.00338,-0.017889,110
0.997599,-0.0176015,111
0.993806,-0.0170457,112
0.991888,-0.0167704,113
0.990829,-0.0164135,114
0.990051,-0.0160374,115
1.00452,-0.00186003,116
1.00464,-0.00486751,117
1.0048,-0.00872009,118
1.00541,-0.0121947,119
1.00642,-0.0160025,120
1.00649,-0.0199005,121
1.00648,-0.022688,122
1.00638,-0.0264469,123
1.00628,-0.0286996,124
1.00539,-0.031634,125
1.00347,-0.033359,126
1.00245,-0.034977,127
1.00068,-0.0362339,128
0.999082,-0.0368417,129
0.997898,-0.0369002,130
0.996034,-0.0370456,131
0.994099,-0.037431,132
0.992022,-0.0373393,133
0.989095,-0.0373682,134
0.984065,-0.0367279,135
0.978352,-0.0355935,136
0.97225,-0.0345863,137
0.971465,-0.0330173,138
0.975562,-0.032005,139
0.979996,-0.030427,140
0.981905,-0.0293276,141
0.98294,-0.0281189,142
0.983654,-0.0272203,143
0.983726,-0.026446,144
1.00559,-0.00198783,145
1.00641,-0.00605842,146
1.00704,-0.010134,147
1.00728,-0.0139499,148
1.00851,-0.0180832,149
1.00936,-0.0220236,150
1.00966,-0.0267086,151
1.00958,-0.0305839,152
1.00867,-0.0345671,153
1.0075,-0.0376452,154
1.00607,-0.0405348,155
1.00458,-0.0425722,156
1.00245,-0.0436793,157
0.999742,-0.0448758,158
0.998073,-0.0446193,159
0.995875,-0.0441689,160
0.993674,-0.0424471,161
0.9917,-0.0407848,162
0.99066,-0.0386273,163
0.991358,-0.0371194,164
0.994275,-0.0358537,165
0.99802,-0.0349237,166
0.996912,-0.0340887,167
0.991103,-0.0334717,168
0.985528,-0.0326374,169
0.98161,-0.0321089,170
0.979716,-0.0316442,171
0.978833,-0.0308887,172
0.978041,-0.0305439,173
1.00765,-0.00203881,174
1.00839,-0.00613396,175
1.00875,-0.010096,176
1.00992,-0.0149959,177
1.01131,-0.0201198,178
1.01224,-0.0249175,179
1.01233,-0.029889,180
1.01257,-0.034497,181
1.01223,-0.0390219,182
1.01125,-0.0429511,183
1.00933,-0.0466835,184
1.00613,-0.0496933,185
1.00417,-0.0516351,186
1.00116,-0.0533448,187
0.997564,-0.0539042,188
0.994523,-0.0545525,189
0.99074,-0.0543972,190
0.987606,-0.0547903,191
0.983916,-0.0541813,192
0.979099,-0.0539651,193
0.973096,-0.0522704,194
0.966674,-0.0509805,195
0.964642,-0.0486219,196
0.967186,-0.0471862,197
0.970024,-0.0451934,198
0.971701,-0.0435843,199
0.971688,-0.0418893,200
0.971016,-0.0405706,201
0.970635,-0.0391658,202
1.00869,-0.00208104,203
1.00961,-0.00693347,204
1.01097,-0.0110546,205
1.01222,-0.016288,206
1.01333,-0.0210939,207
1.01519,-0.0260978,208
1.01609,-0.0318404,209
1.01598,-0.0379628,210
1.0156,-0.0429296,211
1.01413,-0.0486607,212
1.01225,-0.0525651,213
1.0101,-0.0568126,214
1.00628,-0.0597083,215
1.00252,-0.0621209,216
0.998659,-0.063062,217
0.994922,-0.0640514,218
0.990414,-0.0633117,219
0.987138,-0.0615803,220
0.983773,-0.0598351,221
0.982379,-0.0569939,222
0.98311,-0.0554564,223
0.984634,-0.0537381,224
0.983787,-0.0528129,225
0.978035,-0.0512578,226
0.971632,-0.0501422,227
0.967667,-0.0489034,228
0.964768,-0.047933,229
0.962845,-0.0471091,230
0.961745,-0.0462783,231
1.01049,-0.00209572,232
1.01148,-0.00709621,233
1.01246,-0.0114387,234
1.01449,-0.0163832,235
1.01632,-0.0222862,236
1.01794,-0.0278116,237
1.01905,-0.034041,238
1.01962,-0.0399535,239
1.01997,-0.0467339,240
1.01885,-0.0528009,241
1.01698,-0.0586416,242
1.0133,-0.0637409,243
1.01026,-0.0673707,244
1.00525,-0.0712569,245
1.00029,-0.0731103,246
0.995491,-0.0747045,247
0.989408,-0.0752185,248
0.984574,-0.0756845,249
0.978833,-0.0755694,250
0.973298,-0.0753246,251
0.966763,-0.0737193,252
0.959847,-0.0718519,253
0.954863,-0.0690536,254
0.955264,-0.06683,255
0.95611,-0.0645543,256
0.956636,-0.0619728,257
0.955629,-0.0597832,258
0.954476,-0.0576687,259
0.953551,-0.0559554,260
1.01174,-0.00208289,261
1.01293,-0.00712371,262
1.01442,-0.0110584,263
1.01673,-0.0171541,264
1.01856,-0.0223632,265
1.02104,-0.0293521,266
1.02264,-0.0348665,267
1.0238,-0.0428848,268
1.02392,-0.0500595,269
1.02295,-0.0566006,270
1.02108,-0.0635378,271
1.01807,-0.0698269,272
1.01406,-0.0754387,273
1.00891,-0.0795449,274
1.00309,-0.0832255,275
0.996625,-0.0852567,276
0.989692,-0.0862823,277
0.984258,-0.0861169,278
0.97835,-0.0842006,279
0.974082,-0.0819907,280
0.971575,-0.0794896,281
0.970467,-0.0774394,282
0.969233,-0.0758896,283
0.963745,-0.073702,284
0.955957,-0.0716954,285
0.951014,-0.0700992,286
0.947179,-0.0683532,287
0.944846,-0.0669778,288
0.942754,-0.0656595,289
1.01308,-0.00205695,290
1.01402,-0.007144,291
1.01572,-0.0118724,292
1.01846,-0.0173406,293
1.02122,-0.0233214,294
1.0237,-0.0295367,295
1.02594,-0.0368416,296
1.02763,-0.0439735,297
1.02871,-0.0518599,298
1.02784,-0.0602972,299
1.02678,-0.0682999,300
1.02308,-0.0756467,301
1.01924,-0.0826479,302
1.01351,-0.0878415,303
1.0068,-0.092667,304
0.999279,-0.0962364,305
0.991392,-0.0986036,306
0.983565,-0.100008,307
0.975573,-0.100515,308
0.967943,-0.101013,309
0.960295,-0.100064,310
0.951511,-0.0981648,311
0.943716,-0.0955801,312
0.939488,-0.092409,313
0.939009,-0.0898896,314
0.938137,-0.0866553,315
0.936073,-0.0837252,316
0.934196,-0.0807007,317
0.932313,-0.0782782,318
1.01424,-0.00204534,319
1.01557,-0.0071637,320
1.01751,-0.0122823,321
1.02058,-0.0174202,322
1.02333,-0.0234595,323
1.02646,-0.0302817,324
1.02925,-0.0373677,325
1.03181,-0.0455385,326
1.03301,-0.0545143,327
1.03298,-0.0636786,328
1.03152,-0.0725751,329
1.0287,-0.0812844,330
1.0244,-0.0895009,331
1.0184,-0.096845,332
1.01136,-0.103104,333
1.00346,-0.107411,334
0.993754,-0.111108,335
0.985088,-0.112934,336
0.976281,-0.112919,337
0.968368,-0.111751,338
0.962071,-0.108991,339
0.958035,-0.106634,340
0.954762,-0.104181,341
0.94879,-0.10175,342
0.94016,-0.0990216,343
0.932154,-0.0963291,344
0.926959,-0.0941874,345
0.923094,-0.0920348,346
0.92007,-0.0900537,347
1.01525,-0.00211532,348
1.01654,-0.00723414,349
1.0187,-0.0122618,350
1.02185,-0.0173715,351
1.02527,-0.0234096,352
1.02909,-0.030538,353
1.03257,-0.0383942,354
1.0354,-0.0470425,355
1.03778,-0.056036,356
1.03791,-0.0659442,357
1.03752,-0.075678,358
1.03489,-0.0860249,359
1.031,-0.0951437,360
1.02505,-0.104146,361
1.01722,-0.111979,362
1.00784,-0.118777,363
0.998039,-0.12393,364
0.987154,-0.127528,365
0.976334,-0.130032,366
0.965671,-0.131347,367
0.955125,-0.131452,368
0.943385,-0.130594,369
0.932073,-0.127625,370
0.923354,-0.124681,371
0.919232,-0.121222,372
0.917108,-0.117609,373
0.914052,-0.113772,374
0.910381,-0.109984,375
0.907449,-0.106648,376
1.0161,-0.00216654,377
1.01774,-0.00728264,378
1.01999,-0.0121513,379
1.0236,-0.0173582,380
1.0276,-0.0234521,381
1.03136,-0.0303788,382
1.03539,-0.0379903,383
1.03936,-0.0471761,384
