Ux,Uy,CellID
0.966494,-0.0439129,229
0.964576,-0.043041,230
0.963491,-0.042127,231
1.00978,-0.00204855,232
1.00995,-0.00688193,233
1.01174,-0.0111715,234
1.01266,-0.0163055,235
1.01457,-0.0210875,236
1.01658,-0.0271238,237
1.01751,-0.0323343,238
1.01814,-0.0381195,239
1.01903,-0.0440575,240
1.018,-0.0504424,241
1.01684,-0.0560509,242
1.01358,-0.061006,243
1.01024,-0.0650053,244
1.00632,-0.0687423,245
1.00119,-0.0707402,246
0.996053,-0.0728505,247
0.990494,-0.0740378,248
0.985267,-0.0745755,249
0.979579,-0.0751802,250
0.973946,-0.0746322,251
0.965688,-0.0736823,252
0.954541,-0.0716046,253
0.947352,-0.0698354,254
0.948515,-0.0678218,255
0.952819,-0.0658376,256
0.955122,-0.0632179,257
0.955163,-0.0606337,258
0.954293,-0.0584818,259
0.953379,-0.056396,260
1.01116,-0.00200034,261
1.01189,-0.00774887,262
1.01292,-0.011773,263
1.01483,-0.0172153,264
1.01698,-0.0227599,265
1.01893,-0.0280219,266
1.0207,-0.0343235,267
1.02239,-0.0411804,268
1.02317,-0.0482408,269
1.02293,-0.0545598,270
1.02136,-0.0613103,271
1.01852,-0.0674138,272
1.01435,-0.0732145,273
1.00953,-0.0775944,274
1.00441,-0.0804909,275
0.998381,-0.0833211,276
0.991342,-0.0842014,277
0.985187,-0.0837386,278
0.979165,-0.0816756,279
0.975308,-0.0789993,280
0.974099,-0.0762855,281
0.976313,-0.0740231,282
0.978548,-0.0721146,283
0.971789,-0.0693615,284
0.960704,-0.067277,285
0.952732,-0.0656666,286
0.947967,-0.0645701,287
0.945057,-0.0632434,288
0.94296,-0.0621258,289
1.01227,-0.00202952,290
1.01293,-0.00807315,291
1.0149,-0.0128583,292
1.01669,-0.0180058,293
1.0192,-0.024269,294
1.02192,-0.0297928,295
1.02396,-0.0361197,296
1.02582,-0.0433868,297
1.02731,-0.0506182,298
1.0273,-0.0583501,299
1.02601,-0.0661719,300
1.02376,-0.0734342,301
1.01962,-0.0804322,302
1.01416,-0.0866921,303
1.00785,-0.0913239,304
1.00093,-0.0953223,305
0.99274,-0.0978697,306
0.984805,-0.100218,307
0.976602,-0.101572,308
0.967947,-0.102601,309
0.958495,-0.102483,310
0.945371,-0.100563,311
0.933789,-0.0984805,312
0.931031,-0.0951687,313
0.934994,-0.0926654,314
