Ux,Uy,p,CellID
1.0931,0.118033,0.0606098,0
1.13411,0.0431078,0.0406441,1
1.09651,0.237669,0.0443358,2
0.878952,0.0481269,0.0593803,3
1.02157,0.164152,0.065266,4
0.910228,0.0187796,0.0720582,5
0.951356,0.0327403,0.0788096,6
0.882404,0.00809176,0.0965894,7
1.21243,0.00950958,0.102285,8
1.05949,-0.023565,0.104654,9
0.843007,-0.0147136,0.111869,10
1.1264,0.0310504,0.103941,11
1.00466,-0.0794808,0.117196,12
0.823989,0.0610136,0.118407,13
0.935643,-0.0457355,0.129503,14
1.02761,0.0425308,0.124956,15
1.02879,-0.00352812,0.134679,16
1.03613,0.03871,0.129211,17
0.935804,0.00233824,0.136795,18
0.983283,0.036784,0.133786,19
0.932942,0.0308881,0.136517,20
0.947229,0.033619,0.137394,21
1.00281,0.0190409,0.139391,22
1.03501,0.00946502,0.140434,23
1.04688,-0.00205608,0.141475,24
1.0498,-0.00822827,0.141945,25
1.04701,-0.0131707,0.142401,26
1.03989,-0.0154292,0.142814,27
1.03058,-0.0164797,0.143226,28
0.832339,0.0313852,0.107313,29
0.810782,0.133611,0.0587689,30
0.942551,0.0487173,0.110153,31
1.18536,0.0382418,0.0387468,32
1.00666,-0.176209,0.0802596,33
1.20829,-0.0885669,0.0137354,34
1.03022,-0.248798,0.0421557,35
1.10923,-0.0417269,0.0539569,36
0.800898,-0.136586,0.0832799,37
0.965652,0.173992,0.0849637,38
1.03911,0.00890145,0.100059,39
1.0242,0.0422506,0.108523,40
0.896399,0.121996,0.107933,41
1.14359,0.022217,0.119888,42
1.1063,0.00296898,0.125175,43
0.852254,-0.00569667,0.123426,44
0.94509,0.0498102,0.123904,45
0.979467,0.0573104,0.127167,46
1.06985,0.0365509,0.128972,47
0.927646,-0.00996946,0.131491,48
1.08159,-0.0313085,0.13135,49
1.1254,-0.0538824,0.131534,50
1.11201,-0.0418149,0.133244,51
1.08453,-0.0256942,0.135547,52
1.05366,-0.00375114,0.137519,53
1.02294,0.0118926,0.138819,54
0.998502,0.0248273,0.139401,55
0.982435,0.0333514,0.139749,56
0.974564,0.0384923,0.139959,57
0.944895,-0.116533,0.0525296,58
1.09484,-0.00643429,0.0154765,59
1.06297,-0.38885,0.0427739,60
1.06294,0.209991,0.050251,61
1.06784,-0.0813491,0.0893573,62
1.04092,0.271411,0.0436856,63
0.923701,0.200713,0.0562559,64
0.871861,0.114706,0.0866905,65
0.971233,0.0977614,0.100322,66
0.914431,-0.0693862,0.0852825,67
1.07521,0.0724049,0.107446,68
0.895475,-0.0287302,0.103769,69
1.08304,0.119791,0.0917433,70
1.04497,-0.200761,0.124815,71
0.991604,0.127603,0.106539,72
0.904672,-0.126637,0.136292,73
0.859322,0.0493355,0.105099,74
1.05911,-0.0675518,0.130041,75
1.16341,0.0474349,0.11411,76
1.20072,-0.0197375,0.132052,77
1.10689,0.00924829,0.128722,78
0.971401,0.0232798,0.134967,79
0.869889,0.0648179,0.13171,80
0.832589,0.0695209,0.133921,81
0.837599,0.0754187,0.13505,82
0.864218,0.074295,0.136011,83
0.897186,0.0727764,0.137105,84
0.929374,0.070378,0.138062,85
0.956847,0.0678407,0.13907,86
0.929202,-0.158508,0.107107,87
1.03641,-0.172957,0.0495289,88
0.83955,-0.0520827,0.0877714,89
0.99783,-0.130657,0.038588,90
0.986845,0.222963,0.0857164,91
0.932368,0.0155608,0.00470728,92
1.18141,0.361308,0.00247519,93
1.13788,-0.314016,0.0672623,94
0.947617,0.0497324,0.0997035,95
0.9639,-0.164874,0.0947245,96
0.996327,-0.1141,0.0986281,97
0.887665,-0.0866916,0.0881815,98
1.26877,-0.123905,0.0786279,99
1.04165,-0.00269722,0.118035,100
1.01662,-0.0835709,0.109687,101
0.998129,-0.0758487,0.132445,102
0.831675,-0.162808,0.120656,103
0.966183,-0.139444,0.125581,104
0.951774,-0.128959,0.132567,105
1.06866,-0.057341,0.13872,106
0.939707,-0.0117053,0.140291,107
0.869409,-0.011374,0.140694,108
0.932516,-0.0198846,0.1383,109
1.00877,-0.0447297,0.137796,110
1.03086,-0.070472,0.138237,111
1.02558,-0.0932486,0.138762,112
1.0189,-0.10766,0.139195,113
1.01492,-0.116804,0.139597,114
1.01245,-0.121223,0.140286,115
1.04801,0.0708388,0.0661379,116
0.993643,-0.169626,0.0308432,117
