Ux,Uy
1.012220,-0.002026
1.012860,-0.008037
1.014790,-0.012950
1.016650,-0.018087
1.019070,-0.024154
1.021790,-0.029788
1.023930,-0.036062
1.025780,-0.043220
1.027360,-0.050268
1.027440,-0.058013
1.026310,-0.065900
1.024170,-0.073220
1.020210,-0.080127
1.014830,-0.086532
1.008630,-0.091345
1.001750,-0.095494
0.993682,-0.098195
0.985733,-0.100671
0.977599,-0.102093
0.968890,-0.103183
0.959372,-0.103080
0.946416,-0.101197
0.934490,-0.099272
0.931465,-0.096119
0.935387,-0.093706
0.937282,-0.090052
0.936156,-0.086706
0.934179,-0.083711
0.932322,-0.080847
1.013600,-0.002085
1.014640,-0.008110
1.015850,-0.013213
1.018700,-0.019148
1.021130,-0.024120
1.023840,-0.030893
1.026960,-0.038036
1.029520,-0.045380
1.031480,-0.053010
1.032400,-0.061069
1.032050,-0.070256
1.029780,-0.079186
1.025920,-0.087203
1.020420,-0.095005
1.014250,-0.101575
1.006100,-0.107353
0.997100,-0.111299
0.987802,-0.113287
0.979039,-0.112866
0.971459,-0.110815
0.965382,-0.107624
0.965260,-0.105178
0.965519,-0.102803
0.958723,-0.100496
0.945153,-0.097372
0.933909,-0.095588
0.927174,-0.093519
0.923218,-0.091828
0.920027,-0.089853
1.014390,-0.001857
1.015800,-0.007817
1.017700,-0.012975
1.019960,-0.019077
1.023180,-0.024771
1.026730,-0.032051
1.029600,-0.039472
1.032640,-0.046589
1.035300,-0.055213
1.037350,-0.064026
1.037210,-0.073405
1.035810,-0.083462
1.032330,-0.093215
1.027170,-0.103087
1.020040,-0.111597
1.011640,-0.118651
1.001390,-0.124599
0.990402,-0.129535
0.978988,-0.133257
0.967397,-0.135837
0.954759,-0.138066
0.940246,-0.137626
0.923206,-0.135013
0.914785,-0.131828
0.914913,-0.128325
0.916979,-0.124186
0.913808,-0.119270
0.910043,-0.115328
0.907213,-0.111261
1.015510,-0.002727
1.017130,-0.008711
1.018920,-0.013877
1.021840,-0.019885
1.024830,-0.025935
1.028800,-0.032135
1.032350,-0.039375
1.035990,-0.047436
1.039750,-0.056398
1.041510,-0.066233
1.042990,-0.076451
1.041920,-0.087580
1.039640,-0.099396
1.034570,-0.110319
1.027740,-0.121054
1.018690,-0.130759
1.007700,-0.138318
0.995706,-0.144636
0.982850,-0.148086
0.971133,-0.148704
0.960744,-0.146523
0.953608,-0.143527
0.951317,-0.141093
0.944809,-0.139172
0.928982,-0.135741
0.912518,-0.132610
0.903709,-0.130313
0.897648,-0.127459
0.891992,-0.124781
1.016690,-0.002905
1.018290,-0.008894
1.020280,-0.014156
1.023320,-0.020144
1.026740,-0.026144
1.030580,-0.033065
1.034820,-0.040137
1.039160,-0.048444
1.043150,-0.057294
1.046480,-0.067475
1.048230,-0.078435
1.048850,-0.090727
1.046690,-0.103857
1.042300,-0.116699
1.036030,-0.129436
1.026550,-0.140912
1.015430,-0.151345
1.001990,-0.160296
0.987565,-0.167641
0.971700,-0.173998
0.955094,-0.178799
0.936886,-0.181696
0.916928,-0.181001
0.899755,-0.176640
0.893594,-0.172514
0.893313,-0.167584
0.888384,-0.161448
0.881747,-0.155193
0.876701,-0.150087
1.017500,-0.002866
1.019230,-0.008837
1.021440,-0.014134
1.024350,-0.020197
1.027960,-0.026227
1.032820,-0.033256
1.037120,-0.040323
1.041840,-0.048318
1.047020,-0.058475
1.050520,-0.068751
1.053570,-0.080757
1.055070,-0.092771
1.054430,-0.106907
1.051130,-0.121902
1.044960,-0.136704
1.036450,-0.150849
1.024640,-0.164607
1.010790,-0.175958
0.995201,-0.185112
0.978444,-0.190789
0.962241,-0.192530
0.948276,-0.190910
0.938033,-0.188409
0.930378,-0.187016
0.914069,-0.184690
0.891834,-0.180248
0.876212,-0.176782
0.867200,-0.172963
0.859375,-0.168820
1.018660,-0.002810
1.020160,-0.008743
1.022430,-0.014114
1.025720,-0.020221
1.029690,-0.026329
1.034110,-0.033212
1.039250,-0.039911
1.044660,-0.049128
1.049870,-0.058731
1.054910,-0.068590
1.058470,-0.081004
1.061020,-0.094829
1.061860,-0.109809
1.059420,-0.126015
1.054680,-0.142865
1.046440,-0.160327
1.035730,-0.176229
1.020340,-0.191064
1.003820,-0.203824
0.984773,-0.214378
0.963351,-0.223981
0.940467,-0.231563
0.915818,-0.235177
0.890586,-0.233325
0.872961,-0.227797
0.866570,-0.222407
0.859742,-0.214764
0.849008,-0.206588
0.840296,-0.199328
1.019380,-0.002778
1.020690,-0.008669
1.023270,-0.014159
1.026310,-0.020284
1.030840,-0.025956
1.035950,-0.033091
1.040990,-0.041073
1.047040,-0.049341
1.053170,-0.058502
1.058300,-0.069636
1.063500,-0.081710
1.067180,-0.096224
1.068950,-0.111994
1.068340,-0.129323
1.064890,-0.147944
1.058170,-0.168159
1.046950,-0.186429
1.033010,-0.204799
1.015320,-0.221020
0.994711,-0.234723
0.974367,-0.243088
0.952104,-0.247210
0.932912,-0.246193
0.918040,-0.246254
0.899920,-0.245667
0.872467,-0.242102
0.847371,-0.236639
0.832368,-0.231762
0.819743,-0.225428
1.020030,-0.002833
1.021760,-0.008669
1.024130,-0.014180
1.027670,-0.020305
1.032050,-0.026557
1.037290,-0.033046
1.043110,-0.040565
1.048970,-0.049604
1.055470,-0.058657
1.061800,-0.069181
1.067650,-0.082405
1.072710,-0.096300
1.076060,-0.113303
1.076680,-0.131537
1.074850,-0.152286
1.069180,-0.173473
1.059800,-0.195647
1.045990,-0.217327
1.028170,-0.237071
1.007040,-0.255862
0.982058,-0.271731
0.954021,-0.285730
0.923721,-0.297511
0.891082,-0.302345
0.858982,-0.298655
0.839337,-0.292433
0.827796,-0.285089
0.811525,-0.274606
0.796159,-0.264029
1.020920,-0.002847
1.022020,-0.008649
1.024580,-0.014177
1.028510,-0.020303
1.033200,-0.027221
1.038480,-0.033008
1.044400,-0.040215
1.051260,-0.048763
1.058090,-0.057859
1.065150,-0.068688
1.071990,-0.081383
1.077940,-0.096602
1.082380,-0.113976
1.084820,-0.133014
1.084840,-0.155157
1.081040,-0.178178
1.072670,-0.203348
1.060430,-0.227766
1.043770,-0.252706
1.022030,-0.274917
0.997035,-0.294293
0.969517,-0.307957
0.940914,-0.315111
0.914647,-0.317019
0.890291,-0.319776
0.859198,-0.320911
0.821812,-0.315261
0.793257,-0.308897
0.773499,-0.301060
1.021050,-0.002836
1.023150,-0.008670
1.025570,-0.014132
1.029590,-0.020247
1.033940,-0.026545
1.039560,-0.032957
1.045960,-0.040125
1.052570,-0.048176
1.059910,-0.057198
1.067630,-0.068783
1.075580,-0.080991
1.082660,-0.095430
1.088610,-0.113001
1.092540,-0.133236
1.094190,-0.156421
1.092260,-0.182026
1.085970,-0.208838
1.075400,-0.237284
1.059670,-0.265700
1.038680,-0.292464
1.012580,-0.318237
0.981042,-0.341407
0.944844,-0.363509
0.904501,-0.381255
0.860378,-0.388058
0.819999,-0.383193
0.794712,-0.376232
0.772076,-0.366171
0.745914,-0.351692
1.022010,-0.002830
1.023260,-0.008702
1.025800,-0.014089
1.029930,-0.020210
1.034990,-0.026092
1.040460,-0.032924
1.047080,-0.040146
1.054290,-0.048436
1.062260,-0.057485
1.070510,-0.068153
1.078890,-0.080499
1.087080,-0.095469
1.094180,-0.112658
1.099880,-0.133273
1.103570,-0.157130
1.103600,-0.183794
1.099210,-0.213439
1.090740,-0.244207
1.076890,-0.276258
1.057100,-0.307999
1.032240,-0.339272
1.001420,-0.366413
0.966968,-0.387375
0.929333,-0.399193
0.891911,-0.406646
0.854818,-0.416539
0.807579,-0.419049
0.757737,-0.411335
0.722278,-0.402518
1.022160,-0.002817
1.024080,-0.008710
1.026760,-0.014095
1.030710,-0.020198
1.035720,-0.025951
1.041430,-0.032969
1.048020,-0.039936
1.055570,-0.047851
1.063680,-0.056584
1.072310,-0.067339
1.081560,-0.079616
1.090650,-0.094318
1.099130,-0.111804
1.106340,-0.132810
1.111780,-0.157613
1.113950,-0.184884
1.112010,-0.215710
1.105780,-0.249005
1.094320,-0.285100
1.076810,-0.321102
1.053050,-0.357997
1.021940,-0.393180
0.983292,-0.427375
0.936732,-0.461804
0.884753,-0.489760
0.823904,-0.500086
0.770009,-0.494366
0.732447,-0.488125
0.693472,-0.473225
1.022620,-0.002819
1.024240,-0.008726
1.026980,-0.014113
1.031030,-0.020139
1.036260,-0.025887
1.041930,-0.032785
1.049190,-0.040314
1.056700,-0.047048
1.065380,-0.056536
1.074530,-0.065966
1.084250,-0.078579
1.094120,-0.092865
1.103660,-0.111365
1.112600,-0.131536
1.119470,-0.156866
1.123700,-0.185038
1.123990,-0.217747
1.120500,-0.253530
1.111490,-0.291261
1.096900,-0.332343
1.075410,-0.373741
1.046230,-0.415472
1.011120,-0.454375
0.968951,-0.485562
0.918620,-0.504970
0.866698,-0.522907
0.812175,-0.546124
0.741032,-0.550625
0.671607,-0.538920
1.023170,-0.002802
1.024640,-0.008718
1.027440,-0.014122
1.031650,-0.020103
1.037040,-0.025874
1.042980,-0.033205
1.050010,-0.039836
1.057820,-0.047229
1.066520,-0.055648
1.075990,-0.065307
1.086200,-0.077441
1.097180,-0.091675
1.107710,-0.109688
1.117760,-0.130867
1.126440,-0.156283
1.132500,-0.184743
1.135270,-0.218605
1.134010,-0.256082
1.128380,-0.296689
1.116720,-0.340052
1.098220,-0.386383
1.072110,-0.434253
1.037230,-0.482093
0.991306,-0.532483
0.934607,-0.586999
0.865862,-0.635327
0.781315,-0.651595
0.701167,-0.647115
0.640166,-0.641545
1.023260,-0.002801
1.025160,-0.008724
1.028020,-0.014120
1.032230,-0.020081
1.037320,-0.025865
1.043300,-0.032817
1.050510,-0.039183
1.058550,-0.046835
1.067690,-0.055539
1.077580,-0.065204
1.088490,-0.076759
1.099920,-0.090595
1.111560,-0.108331
1.122750,-0.129333
1.132820,-0.154732
1.140880,-0.184267
1.145910,-0.218368
1.146990,-0.256927
1.143700,-0.299600
1.135810,-0.346065
1.121040,-0.396249
1.098420,-0.449262
1.067520,-0.504638
1.029510,-0.560132
0.981097,-0.607872
0.913724,-0.638685
0.841797,-0.677538
0.760758,-0.732785
0.641490,-0.735562
1.023720,-0.002810
1.025230,-0.008740
1.028130,-0.014117
1.032510,-0.020051
1.037860,-0.025843
1.044100,-0.032245
1.051420,-0.039026
1.059450,-0.046405
1.068590,-0.054739
1.078790,-0.064093
1.090060,-0.075490
1.102330,-0.089719
1.114630,-0.107011
1.126910,-0.127754
1.138690,-0.153234
1.148070,-0.183462
1.154950,-0.218184
1.159010,-0.257095
1.158830,-0.301757
1.153570,-0.350328
1.142630,-0.403490
1.124580,-0.460816
1.098850,-0.521959
1.062460,-0.586556
1.012330,-0.660893
0.944046,-0.750734
0.859914,-0.841312
0.735803,-0.881424
0.579740,-0.876708
1.023840,-0.002808
1.025650,-0.008741
1.028590,-0.014106
1.032870,-0.020041
1.038400,-0.025849
1.044440,-0.031951
1.051610,-0.038712
1.060220,-0.045871
1.069540,-0.054537
1.079890,-0.063585
1.091660,-0.074625
1.104520,-0.088486
1.117600,-0.105197
1.130700,-0.126723
1.143700,-0.151846
1.154910,-0.181775
1.163810,-0.217294
1.169550,-0.257075
1.172020,-0.302052
1.170280,-0.352442
1.163080,-0.407972
1.149830,-0.469025
1.129210,-0.535456
1.098800,-0.606388
1.065070,-0.687662
1.016420,-0.763613
0.927147,-0.801021
0.833038,-0.894017
0.678639,-1.036760
1.024210,-0.002801
1.025750,-0.008735
1.028730,-0.014097
1.033290,-0.020041
1.038630,-0.025840
1.044790,-0.031839
1.052350,-0.038915
1.060570,-0.045951
1.070310,-0.053955
1.080800,-0.063022
1.092930,-0.074178
1.105900,-0.087836
1.119840,-0.104257
1.134070,-0.125070
1.148010,-0.150287
1.160790,-0.179633
1.171120,-0.215286
1.179350,-0.255731
1.184430,-0.302510
1.185480,-0.353567
1.181680,-0.410489
1.172650,-0.474415
1.158720,-0.544792
1.136190,-0.620039
1.105920,-0.707007
1.058650,-0.812056
0.976963,-0.946314
0.891350,-1.156410
0.626207,-1.197970
0.998610,-0.001130
0.998645,-0.000979
0.998665,-0.000752
0.998643,-0.000710
0.998470,-0.000506
0.997779,-0.000434
0.997484,-0.000246
0.996641,-0.000158
0.995504,0.000004
0.993816,0.000081
0.992513,0.000268
0.990641,0.000294
0.988603,0.000430
0.986593,0.000417
0.984566,0.000505
0.982699,0.000448
0.981542,0.000488
0.980565,0.000377
0.979866,0.000390
0.997213,-0.004251
0.997069,-0.004097
0.997034,-0.004108
0.997136,-0.003966
0.997838,-0.004022
0.998078,-0.003840
0.998831,-0.003705
0.999226,-0.003577
1.000810,-0.003428
1.002020,-0.003341
1.003940,-0.003157
1.006010,-0.003150
1.008820,-0.002950
1.011120,-0.002922
1.013890,-0.002631
1.016100,-0.002300
1.018010,-0.002128
1.019170,-0.001744
1.019860,-0.001473
0.993782,-0.010884
0.993780,-0.010375
0.993745,-0.010072
0.993740,-0.009781
0.993712,-0.009325
0.993028,-0.008987
0.992812,-0.008625
0.991917,-0.008120
0.990968,-0.007777
0.989826,-0.007414
0.988065,-0.006903
0.986625,-0.006594
0.983997,-0.006284
0.981878,-0.005862
0.979729,-0.005634
0.977069,-0.005440
0.975661,-0.005175
0.974048,-0.005118
0.973860,-0.004803
0.989972,-0.015866
0.989835,-0.015533
0.989833,-0.015400
0.989875,-0.014945
0.989855,-0.014747
0.989819,-0.014374
0.990002,-0.014156
0.990796,-0.013902
0.991757,-0.013549
0.992870,-0.013322
0.994745,-0.013077
0.996919,-0.012636
0.999643,-0.012296
1.001990,-0.011888
1.004930,-0.011197
1.007750,-0.010812
1.009800,-0.010189
1.010830,-0.009483
1.010990,-0.008908
0.984575,-0.024062
0.984642,-0.023378
0.984555,-0.022824
0.983926,-0.022071
0.983785,-0.021330
0.983615,-0.020702
0.982911,-0.019939
0.982697,-0.019401
0.981814,-0.018589
0.980711,-0.017965
0.978915,-0.017203
0.976800,-0.016432
0.974008,-0.015801
0.970963,-0.015079
0.967954,-0.014419
0.965141,-0.013997
0.962921,-0.013160
0.961076,-0.012881
0.960258,-0.012143
0.978683,-0.027571
0.977945,-0.026878
0.977673,-0.026561
0.976893,-0.026039
0.976727,-0.025509
0.976709,-0.025137
0.976586,-0.024289
0.976774,-0.023949
0.977653,-0.023050
0.978640,-0.022592
0.979764,-0.021913
0.981619,-0.021190
0.983744,-0.020595
0.986609,-0.019737
0.989544,-0.019038
0.991832,-0.018214
0.994483,-0.017279
0.995557,-0.016322
0.995514,-0.015292
0.970662,-0.037893
0.970541,-0.036757
0.970386,-0.035865
0.969602,-0.034744
0.969412,-0.033771
0.968713,-0.032586
0.968540,-0.031392
0.967685,-0.030238
0.966796,-0.028974
0.965744,-0.027939
0.963845,-0.026696
0.961736,-0.025625
0.958801,-0.024336
0.955618,-0.023136
0.951885,-0.021996
0.948762,-0.020929
0.945905,-0.019907
0.943985,-0.018939
0.943238,-0.018002
0.962628,-0.041909
0.961580,-0.041203
0.960588,-0.040530
0.959575,-0.039521
0.958831,-0.038657
0.958593,-0.037523
0.957922,-0.036596
0.957795,-0.035507
0.957764,-0.034388
0.957871,-0.033455
0.958705,-0.032318
0.959859,-0.031346
0.961903,-0.030083
0.964726,-0.028781
0.967524,-0.027685
0.969816,-0.026289
0.972343,-0.024903
0.973440,-0.023400
0.973223,-0.021902
0.952719,-0.055199
0.952430,-0.053648
0.951623,-0.051921
0.950660,-0.050204
0.949629,-0.048643
0.948655,-0.046928
0.947595,-0.045186
0.946649,-0.043608
0.945673,-0.041734
0.944468,-0.040230
0.942670,-0.038359
0.940616,-0.036686
0.937870,-0.034699
0.934859,-0.032981
0.931093,-0.031227
0.927190,-0.029299
0.924197,-0.027694
0.921554,-0.025937
0.920610,-0.024311
0.941551,-0.061662
0.940367,-0.060359
0.938655,-0.059168
0.937532,-0.057663
0.936567,-0.056522
0.935519,-0.054858
0.934604,-0.053539
0.933602,-0.051746
0.932848,-0.050222
0.932820,-0.048428
0.932715,-0.046848
0.932956,-0.044944
0.933909,-0.043193
0.935819,-0.041178
0.937827,-0.039387
0.940633,-0.037378
0.942680,-0.035205
0.943648,-0.033026
0.943690,-0.030537
0.930583,-0.078387
0.929350,-0.076158
0.927598,-0.073743
0.926357,-0.071387
0.924680,-0.068984
0.923504,-0.066276
0.921750,-0.064093
0.920522,-0.061267
0.918707,-0.058980
0.916985,-0.056265
0.915633,-0.053607
0.913008,-0.051016
0.910706,-0.048246
0.907169,-0.045722
0.903855,-0.042905
0.899308,-0.040301
0.895247,-0.037369
0.892218,-0.035168
0.890497,-0.032611
0.917203,-0.088228
0.915068,-0.086444
0.912413,-0.084466
0.910482,-0.082308
0.908547,-0.080045
0.906771,-0.077752
0.905455,-0.075318
0.903738,-0.073002
0.901905,-0.070157
0.900770,-0.067712
0.900041,-0.064930
0.899849,-0.062213
0.900013,-0.059586
0.900963,-0.056801
0.902217,-0.054121
0.904279,-0.051382
0.906844,-0.048374
0.908154,-0.045122
0.908827,-0.041781
0.904237,-0.107920
0.901376,-0.104581
0.898660,-0.101224
0.896435,-0.098064
0.893733,-0.094537
0.891695,-0.091406
0.889573,-0.087551
0.886806,-0.084131
0.884822,-0.080381
0.882864,-0.076657
0.880959,-0.072947
0.879071,-0.068919
0.876734,-0.065119
0.873190,-0.060998
0.869880,-0.057159
0.865177,-0.053131
0.860514,-0.049176
0.856418,-0.045420
0.853582,-0.041685
0.888186,-0.121863
0.884826,-0.119050
0.881197,-0.116167
0.878209,-0.112659
0.875206,-0.109381
0.872289,-0.105745
0.869567,-0.101921
0.867291,-0.098242
0.864739,-0.094294
0.862874,-0.090350
0.861122,-0.086367
0.860104,-0.082510
0.859378,-0.078313
0.859112,-0.074548
0.859658,-0.070413
0.861473,-0.066491
0.863838,-0.062426
0.866644,-0.058286
0.868017,-0.053649
0.871906,-0.145248
0.867832,-0.140881
0.863129,-0.135997
0.859290,-0.131354
0.855659,-0.126257
0.852628,-0.121245
0.849665,-0.116070
0.846771,-0.110848
0.843707,-0.105271
0.841040,-0.100006
0.838939,-0.094221
0.836897,-0.088833
0.834530,-0.082892
0.832331,-0.077150
0.828567,-0.071263
0.824667,-0.065444
0.819722,-0.059708
0.814650,-0.054185
0.809852,-0.048986
0.853261,-0.164394
0.847593,-0.159987
0.842515,-0.154962
0.837536,-0.149653
0.832918,-0.144128
0.829111,-0.138282
0.825264,-0.132123
0.821524,-0.125950
0.818511,-0.119416
0.815874,-0.113318
0.813989,-0.106886
0.812087,-0.100689
0.810320,-0.094432
0.809896,-0.088409
0.810563,-0.082784
0.811855,-0.077435
0.815001,-0.072281
0.819186,-0.066944
0.823468,-0.061526
0.832650,-0.192352
0.825721,-0.185826
0.819131,-0.178788
0.813170,-0.171351
0.807414,-0.163874
0.802349,-0.155974
0.797713,-0.147925
0.794020,-0.139506
0.791019,-0.131103
0.788038,-0.122655
0.785577,-0.113932
0.783802,-0.105384
0.782453,-0.096459
0.780844,-0.088083
0.779847,-0.079605
0.777991,-0.071225
0.774559,-0.063099
0.770480,-0.055170
0.764755,-0.047937
0.809682,-0.218483
0.800872,-0.211604
0.792291,-0.203179
0.784690,-0.194737
0.777810,-0.185185
0.771783,-0.175518
0.766123,-0.165372
0.761528,-0.154985
0.757889,-0.144291
0.754835,-0.133503
0.752363,-0.123054
0.751261,-0.112716
0.750768,-0.102806
0.751300,-0.093370
0.753353,-0.084391
0.755945,-0.076550
0.760836,-0.069223
0.767488,-0.062812
0.776602,-0.056701
0.784237,-0.254393
0.772345,-0.244105
0.761568,-0.233508
0.751879,-0.221879
0.743225,-0.209559
0.735788,-0.196720
0.729197,-0.183045
0.723590,-0.169356
0.719158,-0.155214
0.716427,-0.140962
0.714860,-0.126966
0.714985,-0.113002
0.715379,-0.099398
0.716758,-0.086093
0.719211,-0.073256
0.721955,-0.061045
0.723517,-0.049335
0.723454,-0.038355
0.720700,-0.028297
0.755876,-0.290698
0.740984,-0.279605
0.727186,-0.266556
0.714472,-0.252208
0.703347,-0.236624
0.693369,-0.219869
0.684942,-0.202479
0.678524,-0.184525
0.674025,-0.166231
0.671406,-0.148030
0.670450,-0.130064
0.671112,-0.112483
0.673506,-0.095704
0.677567,-0.080011
0.683312,-0.065889
0.690958,-0.053256
0.700558,-0.042716
0.713113,-0.034095
0.729779,-0.027644
0.724655,-0.338307
0.705522,-0.323374
0.687389,-0.306434
0.671280,-0.287932
0.656167,-0.267905
0.644230,-0.246195
0.633598,-0.223735
0.625902,-0.200304
0.620574,-0.176527
0.618302,-0.152835
0.618682,-0.128996
0.621024,-0.105844
0.625758,-0.083451
0.633175,-0.061926
0.641815,-0.041946
0.652350,-0.023124
0.663333,-0.006555
0.673165,0.008803
0.679065,0.022572
0.693239,-0.389101
0.666667,-0.372136
0.643420,-0.352168
0.621890,-0.328812
0.602997,-0.303142
0.587061,-0.275676
0.574596,-0.246548
0.565224,-0.216735
0.559556,-0.186470
0.557081,-0.155754
0.557932,-0.125628
0.562456,-0.095895
0.569903,-0.067409
0.580555,-0.040953
0.594595,-0.016614
0.611245,0.004083
0.632142,0.021153
0.655480,0.033577
0.686401,0.040078
0.655906,-0.452527
0.623557,-0.431939
0.592180,-0.405277
0.564813,-0.376086
0.540873,-0.343413
0.521551,-0.308253
0.506281,-0.271776
0.495604,-0.234018
0.488606,-0.195747
0.486362,-0.157247
0.488574,-0.118743
0.494620,-0.081252
0.505354,-0.044466
