Ux,Uy,p
1.021460,0.031524,0.071219
0.987560,0.013010,0.066842
0.880701,0.027563,0.077694
1.016000,0.009806,0.073308
1.037710,0.065690,0.056163
1.047490,0.090352,0.058570
1.125230,-0.034133,0.087761
1.008290,-0.031075,0.096381
0.935188,-0.022882,0.110461
1.082980,0.047947,0.111760
0.956572,0.117909,0.107732
0.960808,0.091114,0.119833
0.858059,0.044261,0.140178
0.975250,-0.012219,0.143420
1.081020,0.032154,0.147501
1.156240,0.018308,0.149958
0.992507,0.053076,0.151977
0.892489,0.038530,0.155867
0.948443,0.046408,0.158007
1.038680,0.043442,0.159342
1.009660,0.042195,0.160740
1.009630,0.034347,0.162303
1.010180,0.028942,0.163395
1.007500,0.023519,0.164380
1.003030,0.019113,0.165322
0.997558,0.015634,0.165942
0.993236,0.011872,0.166624
0.990087,0.008304,0.167164
0.987697,0.004753,0.167609
0.943882,0.039284,0.069611
1.017320,-0.010642,0.048151
1.115220,-0.037476,0.063097
0.984355,-0.112181,0.073754
0.874583,-0.329334,0.044739
1.049300,-0.182986,0.052589
0.983585,-0.166813,0.097110
0.983899,0.013810,0.099207
0.965916,-0.162297,0.098097
0.703711,-0.029423,0.114015
0.984851,-0.110741,0.105384
1.164600,-0.038092,0.134849
1.329320,-0.037725,0.111841
1.017280,-0.030475,0.132762
0.821424,0.010384,0.123670
0.777610,0.042701,0.131972
0.961814,0.033440,0.134435
1.115300,0.012920,0.140252
1.018800,0.017617,0.138438
0.972418,0.012195,0.143374
1.038050,0.006453,0.144120
1.045210,-0.001233,0.147167
1.046510,0.005154,0.148592
1.040550,0.004435,0.151173
1.041040,0.011584,0.152006
1.050260,0.014013,0.153435
1.063640,0.017582,0.154501
1.076850,0.019829,0.155438
1.087370,0.021933,0.156230
0.996617,0.208364,0.066547
1.069410,-0.049205,0.032752
0.948764,-0.109608,0.049480
1.185610,0.056830,0.043165
1.092490,-0.009212,0.036846
0.938632,-0.194185,0.038244
0.902886,0.073227,0.066621
1.016300,0.092891,0.080049
0.992064,0.108750,0.086228
0.986537,-0.014912,0.106273
1.026920,-0.242004,0.089083
0.794652,-0.178914,0.116287
0.920649,0.036760,0.140945
0.903588,0.060127,0.136519
0.965601,-0.021441,0.151659
1.114520,-0.061748,0.138673
1.105750,-0.126204,0.148110
0.927272,-0.070277,0.149994
0.963247,-0.025967,0.145814
1.085200,-0.018113,0.145722
1.103900,-0.030068,0.153105
1.038480,-0.040938,0.159456
1.017360,-0.049222,0.163311
0.989703,-0.053485,0.166103
0.972694,-0.053535,0.167757
0.968549,-0.050941,0.169027
0.967321,-0.045997,0.169956
0.964257,-0.040650,0.170714
0.958893,-0.035352,0.171361
0.854721,-0.339817,0.070040
1.192850,0.307480,0.001862
1.026890,-0.139468,0.057288
0.942027,0.015573,0.054126
1.094440,0.268654,0.053010
0.971331,0.121903,0.057964
0.739385,0.126597,0.071891
0.994748,-0.037754,0.081415
1.066820,0.050777,0.071652
1.146320,-0.062163,0.124849
1.174990,-0.071356,0.053858
0.743868,0.037328,0.140828
0.930250,-0.168498,0.150520
1.168720,-0.142182,0.134483
1.018030,-0.323770,0.120623
1.016380,-0.296211,0.106726
0.933818,-0.305290,0.118548
0.800326,-0.246899,0.124337
0.834762,-0.272651,0.129069
0.970131,-0.197144,0.139874
1.072640,-0.161156,0.153819
1.085300,-0.110137,0.159169
1.063870,-0.096927,0.163393
1.031160,-0.081361,0.165408
