Ux,Uy
0.999920,0.000048
0.999910,-0.000910
0.999935,-0.000875
1.000010,-0.001885
1.000030,-0.001976
1.000010,-0.002666
0.999977,-0.002889
0.999964,-0.003066
1.000050,-0.003595
0.999961,-0.003790
1.000000,-0.004018
1.000080,-0.003985
1.000040,-0.004030
1.000060,-0.004063
1.000170,-0.004144
1.000350,-0.004185
1.000310,-0.004082
1.000190,-0.004041
0.999051,-0.003854
0.995745,-0.003652
0.991341,-0.003779
0.987231,-0.004151
0.986359,-0.004484
0.988439,-0.004614
0.991529,-0.004600
0.994520,-0.004499
0.995814,-0.004319
0.997588,-0.004134
0.997894,-0.003944
1.000510,-0.000929
1.000730,-0.001850
1.000910,-0.003722
1.000870,-0.004836
1.000890,-0.005944
1.000820,-0.007821
1.000620,-0.008959
1.000830,-0.009852
1.000860,-0.010561
1.000880,-0.010868
1.000170,-0.011769
1.000170,-0.011874
1.000040,-0.012106
0.999820,-0.011789
0.999587,-0.011511
0.998517,-0.010739
0.998500,-0.010243
0.998578,-0.009487
0.998892,-0.008753
1.003180,-0.008096
1.009490,-0.006894
1.014540,-0.005747
1.014550,-0.004512
1.011360,-0.003756
1.007190,-0.003460
1.003310,-0.003061
1.001140,-0.003104
0.999243,-0.002900
0.998237,-0.002930
1.001590,-0.000935
1.001540,-0.003598
1.001880,-0.005887
1.001550,-0.007942
1.002340,-0.009946
1.002230,-0.012031
1.002090,-0.013933
1.001560,-0.015755
1.001690,-0.017496
1.001710,-0.018327
1.000740,-0.019590
1.000690,-0.020114
0.999725,-0.020578
0.999565,-0.020849
0.998549,-0.020655
0.998445,-0.021234
0.997672,-0.021025
0.996930,-0.021327
0.994872,-0.020933
0.989929,-0.021160
0.982884,-0.020368
0.977929,-0.020290
0.977862,-0.019848
0.981980,-0.019254
0.987071,-0.018614
0.990050,-0.017614
0.991932,-0.017191
0.992823,-0.016532
0.992909,-0.016041
1.002680,-0.000917
1.003420,-0.004745
1.003390,-0.006845
1.003280,-0.010248
1.003950,-0.013121
1.004220,-0.015999
1.004220,-0.018668
1.004370,-0.021319
1.003420,-0.023644
1.003180,-0.025708
1.002290,-0.026804
1.001320,-0.028006
1.000370,-0.028368
0.999589,-0.028132
0.998835,-0.027663
0.997926,-0.026565
0.996857,-0.025365
0.995649,-0.023802
0.996436,-0.022465
0.998502,-0.021190
1.004380,-0.020145
1.008550,-0.019641
1.008530,-0.018548
1.003600,-0.017920
0.997724,-0.017612
0.993808,-0.017054
0.991875,-0.016756
0.990865,-0.016440
0.990009,-0.016015
1.004550,-0.001923
1.004640,-0.004843
1.004860,-0.008810
1.005440,-0.012233
1.006480,-0.016053
1.006560,-0.019922
1.006560,-0.022765
1.006410,-0.026518
1.006320,-0.028786
1.005390,-0.031694
1.003470,-0.033489
1.002500,-0.035102
1.000710,-0.036340
0.999037,-0.037032
0.997897,-0.037043
0.996046,-0.037200
0.994127,-0.037539
0.992110,-0.037449
0.989159,-0.037455
0.984140,-0.036826
0.978283,-0.035705
0.972090,-0.034770
0.971122,-0.033244
0.975177,-0.032345
