Ux,Uy,p
0.972790,0.042441,0.104144
0.912017,-0.027231,0.087705
0.814303,-0.077293,0.092985
0.941501,-0.019459,0.089409
0.894794,-0.132184,0.101793
0.924845,0.158499,0.097503
0.951892,0.000196,0.105185
1.111590,0.247063,0.093821
0.995038,0.039994,0.095013
0.803093,0.128213,0.137983
1.061260,-0.067825,0.163270
1.255460,0.043882,0.166404
1.121820,0.040310,0.149419
0.945943,0.037293,0.155790
1.000470,0.028738,0.160753
1.028020,-0.002996,0.167158
1.069560,0.030980,0.166342
1.104370,0.032528,0.165422
0.978933,0.012101,0.168947
0.943252,0.033514,0.169169
0.915042,0.039285,0.170270
0.942835,0.041549,0.171470
0.969472,0.042479,0.172145
0.993930,0.041770,0.172609
1.016270,0.039760,0.172940
1.034770,0.036908,0.173292
1.046790,0.034340,0.173515
1.052170,0.032305,0.173707
1.053070,0.030765,0.173863
0.993426,0.117783,0.089224
1.147950,0.121788,0.035237
1.162350,0.249414,0.078126
1.118480,-0.179199,0.077182
0.930757,0.225430,0.078989
1.001640,-0.452319,0.077777
0.906652,-0.075020,0.078018
0.854982,-0.242449,0.107605
1.165170,-0.079017,0.086627
1.343080,-0.312688,0.082876
1.041190,-0.215635,0.114752
0.493266,-0.106286,0.141600
0.931268,-0.054469,0.155579
1.089090,-0.118496,0.138736
1.103910,-0.164353,0.134726
0.928740,-0.052634,0.157626
0.791943,-0.065014,0.162740
0.979645,0.002656,0.166023
1.014080,-0.007806,0.169422
0.952280,-0.031652,0.167835
1.046730,-0.046740,0.167712
1.025200,-0.037498,0.167304
1.016910,-0.027691,0.167313
1.014980,-0.022074,0.167764
1.011670,-0.019158,0.168542
1.001370,-0.015061,0.169166
0.989066,-0.010676,0.169699
0.980349,-0.006977,0.170159
0.976540,-0.004359,0.170565
0.879870,-0.239584,0.095863
0.879191,0.039619,0.050291
1.075850,-0.043171,0.084172
0.929439,0.043307,0.076684
1.146200,-0.072268,0.086802
1.116970,-0.127491,0.085921
0.759035,0.135021,0.090769
1.107650,-0.249424,0.107252
1.134630,-0.151082,0.091226
1.010200,-0.150642,0.082922
0.714292,0.350530,0.047107
1.007470,0.091507,0.107849
1.136480,0.083556,0.168054
1.183140,0.141300,0.130169
0.864714,0.136700,0.131968
0.820458,0.110963,0.142499
0.950428,-0.022437,0.151497
0.921292,-0.004935,0.155329
1.109390,0.032129,0.158035
1.111200,-0.008985,0.161816
0.947319,-0.028774,0.164679
0.874326,-0.048107,0.166501
0.915400,-0.061020,0.167918
0.959028,-0.059672,0.169031
0.970137,-0.049434,0.169629
