Ux,Uy,p
1.092930,0.128693,0.056580
1.133000,0.055627,0.034641
1.102080,0.261151,0.037312
0.881766,0.053643,0.053673
1.024610,0.164888,0.063257
0.914958,0.011739,0.069730
0.947979,0.018732,0.078703
0.879043,0.007477,0.098399
1.213370,0.000711,0.105688
1.061500,-0.011536,0.109090
0.832160,-0.015867,0.116377
1.139780,0.038673,0.108649
0.998075,-0.077060,0.124703
0.819712,0.070513,0.118390
0.938739,-0.049143,0.132586
1.020810,0.047780,0.127783
1.027340,-0.000288,0.137973
1.037430,0.047136,0.133023
0.932912,0.005250,0.140709
0.977096,0.039561,0.138020
0.931215,0.031862,0.140884
0.952259,0.033479,0.141980
1.013180,0.017977,0.144031
1.045280,0.008814,0.144989
1.055160,-0.002323,0.146087
1.055850,-0.007762,0.146571
1.051030,-0.012195,0.147124
1.042150,-0.013949,0.147619
1.031420,-0.014694,0.148104
0.820404,0.011881,0.103012
0.806554,0.130017,0.054044
0.940991,-0.006667,0.106287
1.200510,0.053362,0.035154
1.011280,-0.198459,0.078665
1.217150,-0.064968,0.013569
1.026880,-0.232884,0.047574
1.110450,-0.029243,0.057075
0.782577,-0.127322,0.086729
0.954748,0.172462,0.089694
1.058400,0.017016,0.103412
1.002490,0.039037,0.112378
0.901128,0.139662,0.110666
1.164310,-0.000517,0.123660
1.109210,0.019147,0.128541
0.843531,-0.018734,0.127251
0.932210,0.056038,0.126850
0.983004,0.049378,0.130466
1.091220,0.041958,0.132223
0.942160,-0.014057,0.135619
1.095590,-0.032282,0.135041
1.128090,-0.054362,0.135789
1.101430,-0.036924,0.137816
1.068090,-0.019461,0.140420
1.036240,0.004494,0.142225
1.006760,0.020173,0.143376
0.984854,0.033312,0.143747
0.971987,0.041751,0.143944
0.967468,0.046651,0.144075
0.953231,-0.131572,0.045152
1.113070,-0.028124,0.007323
1.054570,-0.391767,0.040965
1.043370,0.195916,0.047944
1.065810,-0.043377,0.090314
1.011920,0.283066,0.040654
0.931622,0.253179,0.050580
0.876725,0.092852,0.093946
0.987772,0.109402,0.109754
0.915528,-0.096179,0.094752
1.069010,0.061843,0.107679
0.885173,-0.039464,0.102670
1.118320,0.102893,0.092645
1.033770,-0.199819,0.127938
0.981900,0.123550,0.106795
0.918410,-0.133405,0.144324
0.849435,0.032928,0.113470
1.057240,-0.083251,0.133604
1.151310,0.034191,0.121924
1.215020,-0.021048,0.137643
1.093950,0.012760,0.134591
0.946586,0.029011,0.140039
0.852070,0.068447,0.136472
0.826696,0.070047,0.138776
0.838590,0.071525,0.140508
0.868591,0.066723,0.141956
0.903354,0.062682,0.143310
0.936456,0.058535,0.144395
0.964065,0.055016,0.145444
0.938038,-0.140306,0.104022
1.026390,-0.186907,0.043955
0.836730,0.006570,0.086273
0.985812,-0.184384,0.034428
0.978964,0.230726,0.083845
0.922018,-0.059323,-0.003982
1.215360,0.332385,-0.005706
1.167470,-0.346476,0.068535
0.927684,0.041981,0.102044
0.984096,-0.161876,0.100888
0.988622,-0.127154,0.102431
0.886310,-0.102378,0.092646
1.255090,-0.162124,0.084425
1.037530,0.016627,0.120121
1.033030,-0.111491,0.115280
1.014240,-0.059329,0.136011
0.845519,-0.179608,0.127426
0.953682,-0.137224,0.132058
0.928518,-0.145362,0.138570
1.034560,-0.063593,0.144157
0.929914,-0.020072,0.146362
0.872073,-0.025499,0.146613
0.944247,-0.041189,0.144401
1.030480,-0.066512,0.143235
1.055800,-0.092204,0.143168
1.047140,-0.114376,0.143454
1.034850,-0.128333,0.143842
1.025220,-0.136995,0.144281
1.018030,-0.140956,0.145049
