Ux,Uy,p
0.930038,0.029461,0.100122
1.156400,0.027431,0.088399
1.006360,-0.066626,0.120027
0.872086,-0.184464,0.065085
1.114910,-0.135399,0.089185
0.950010,-0.174363,0.058804
1.176360,-0.020900,0.113725
1.055290,0.048462,0.088006
0.880427,0.026220,0.111960
0.964573,-0.035093,0.103199
0.938116,-0.050931,0.112984
1.108770,-0.014925,0.120358
0.837052,-0.024075,0.135574
0.945583,0.060274,0.144460
0.991217,-0.032465,0.150419
1.001910,0.010837,0.151703
1.061780,-0.020776,0.155402
0.955414,-0.014677,0.157936
0.957924,-0.049436,0.159666
0.942219,-0.026893,0.160380
0.994221,-0.025894,0.162644
1.028110,-0.017846,0.162984
1.018990,-0.026058,0.164104
0.996531,-0.025565,0.164701
0.978759,-0.024744,0.165347
0.970239,-0.021049,0.165882
0.970028,-0.017907,0.166300
0.974925,-0.014853,0.166573
0.982132,-0.012243,0.166776
1.044070,-0.347978,0.100681
0.887338,0.119217,0.065841
1.131280,0.138932,0.096960
1.184360,0.176390,0.062555
0.902968,0.040781,0.142307
0.972562,-0.015945,0.041827
0.565480,-0.035431,0.104758
0.911035,0.143119,0.077620
1.212450,0.138105,0.080984
1.143000,0.171592,0.092742
1.001710,0.140445,0.107632
0.864112,0.116245,0.110839
1.015960,0.158974,0.116224
1.118500,-0.076080,0.153367
1.125120,0.043708,0.139184
0.966604,-0.098150,0.157897
0.993789,-0.016901,0.149815
1.126740,-0.036385,0.164290
1.056470,0.039095,0.154473
0.961952,0.005077,0.164844
0.954898,0.011393,0.159652
0.981741,0.002219,0.163453
1.012860,0.020129,0.161682
0.993168,0.021170,0.162364
0.978925,0.022888,0.162898
0.974667,0.019303,0.163624
0.971118,0.016699,0.164279
0.965981,0.014374,0.164895
0.961170,0.012595,0.165436
1.034360,0.321541,0.096350
0.881421,-0.089356,0.067848
0.999723,-0.090691,0.109883
0.972755,0.224441,0.093399
1.166780,0.183593,0.092774
1.013590,0.498841,0.037421
1.013030,0.060722,0.107239
0.901487,-0.406971,0.045683
0.859152,-0.254618,0.067200
0.985394,-0.072821,0.117309
1.059070,-0.057105,0.126415
1.014490,-0.142201,0.118114
1.224920,-0.214101,0.102918
1.057150,-0.173503,0.148744
1.070870,-0.013763,0.145691
1.108630,-0.075475,0.150025
0.923275,-0.019574,0.147081
0.766344,-0.003821,0.158968
0.871913,0.061958,0.158081
1.054200,0.020020,0.163190
1.040230,0.008404,0.161378
0.993464,-0.032576,0.162749
0.955111,-0.037074,0.161707
0.984776,-0.049402,0.163223
1.007460,-0.048807,0.164031
1.012870,-0.050868,0.165297
1.012650,-0.051533,0.166213
1.013100,-0.053733,0.166659
1.015590,-0.056656,0.166883
0.952005,0.197438,0.108193
1.123930,-0.223653,0.047809
0.880401,-0.007211,0.116850
1.043990,-0.091490,0.055408
0.725429,-0.132321,0.107724
1.061770,0.203894,0.022241
1.374570,0.175714,0.069552
1.160770,-0.019679,0.034190
0.810871,0.045342,0.081015
0.925468,-0.239522,0.127118
1.096450,-0.092522,0.120168
1.100260,-0.204380,0.116287
1.118430,-0.257160,0.069924
0.686214,0.007988,0.116224
0.975712,-0.057355,0.148487
0.993346,0.084876,0.135416
0.822108,0.087242,0.143733
0.882930,0.097189,0.145703
0.994970,0.011741,0.152155
1.121840,0.060392,0.152226
1.145100,0.047034,0.157189
1.122900,0.069114,0.157768
1.069850,0.068942,0.159884
1.020570,0.074341,0.161688
0.992113,0.074690,0.163063
0.991622,0.070016,0.164558
1.006280,0.063157,0.165988
1.023890,0.054851,0.167385
1.036070,0.047135,0.168378
1.027440,-0.245827,0.111578
1.025600,-0.157317,0.043901
0.883112,0.027458,0.105832
1.093810,-0.133960,0.056675
0.895885,0.057661,0.072530
0.835825,-0.513560,0.020540
1.232430,0.111721,0.080624
1.043520,0.229179,0.084064
1.084480,0.241761,0.102723
1.076010,-0.094513,0.142443
1.032560,0.058992,0.126233
1.249570,0.025376,0.127485
0.902170,0.212374,0.075335
