Ux,Uy,p
1.138160,0.042096,0.092291
1.177320,-0.002838,0.047937
0.929327,-0.142074,0.082312
0.754507,0.091698,0.105064
1.076000,-0.157171,0.110072
1.061910,0.082932,0.113803
1.033460,-0.112199,0.114758
1.109540,0.085286,0.114449
0.898435,0.030332,0.126197
1.016270,0.089167,0.135897
1.000290,-0.037323,0.141998
0.893665,0.012655,0.144211
1.029800,-0.028099,0.153622
0.925276,0.054999,0.155024
0.988446,0.048745,0.155675
1.010230,0.113860,0.144943
1.031560,0.053302,0.157044
1.032740,0.042656,0.156587
0.935202,0.023977,0.161382
0.988318,0.021896,0.161609
0.963148,0.012597,0.163913
0.958924,0.011414,0.164989
0.987886,0.008825,0.165887
1.008500,0.008862,0.166440
1.012630,0.008480,0.166978
1.012630,0.009298,0.167447
1.012930,0.009937,0.167840
1.014350,0.010297,0.168194
1.016430,0.010062,0.168526
0.832034,0.054669,0.112694
0.981096,0.139771,0.053304
0.982652,0.343036,0.094850
1.279840,-0.066649,0.075358
0.913612,0.000674,0.109883
0.904736,0.066832,0.098945
0.974949,0.058655,0.127513
0.730281,0.054270,0.101491
1.109320,0.074470,0.111506
1.077630,-0.091666,0.132027
1.101930,0.155109,0.139004
1.108690,-0.054052,0.143734
0.885865,0.024792,0.150931
0.960902,-0.113699,0.148818
0.823136,-0.153756,0.142900
0.990879,-0.099462,0.144098
1.139120,-0.048509,0.147276
1.068600,0.012935,0.150502
1.130900,-0.016231,0.155637
1.071860,-0.022888,0.160628
1.089570,-0.035134,0.163244
1.072470,-0.052898,0.165186
1.027690,-0.061944,0.166262
0.995682,-0.062738,0.167288
0.980807,-0.060667,0.168219
0.973258,-0.057539,0.168929
0.974228,-0.055074,0.169538
0.982137,-0.052957,0.170028
0.993543,-0.050945,0.170460
1.027690,-0.103987,0.095386
0.990756,-0.274246,0.044647
1.023630,-0.204215,0.100699
1.023140,-0.031987,0.085393
0.942018,0.392813,0.097614
1.048840,-0.244036,0.100280
1.037050,0.086430,0.137192
1.055730,-0.357702,0.069496
1.092220,-0.252023,0.100681
0.880223,-0.192999,0.123471
0.935312,-0.148319,0.118645
1.098950,0.125948,0.120601
1.116790,-0.100331,0.137718
1.244740,-0.082630,0.144824
0.953013,-0.070305,0.152434
0.800449,-0.175437,0.159312
0.773768,-0.119453,0.161322
0.970859,-0.166996,0.162670
1.063580,-0.121128,0.166413
1.022310,-0.101013,0.170605
1.081040,-0.073021,0.172129
1.051000,-0.048677,0.174558
1.017310,-0.023693,0.174746
0.986136,-0.012726,0.175018
0.972055,-0.009884,0.175510
0.972659,-0.012359,0.176055
0.978341,-0.016403,0.176517
0.980924,-0.020080,0.176909
0.978148,-0.022492,0.177220
1.046950,-0.271777,0.113113
1.010370,-0.068255,0.014936
0.879041,0.054140,0.127587
0.854789,0.172853,0.078152
1.112640,0.105252,0.090093
1.106160,0.022110,0.089607
1.073380,0.069984,0.116500
1.137210,-0.263294,0.065240
0.853773,-0.045956,0.062769
0.981856,0.038917,0.100545
0.681459,-0.125400,0.112317
1.115690,-0.081395,0.132804
1.238940,-0.094141,0.168557
0.866254,0.090717,0.146579
1.011250,0.191360,0.145691
1.075870,0.057085,0.154795
1.090780,-0.060725,0.157508
1.088790,-0.156256,0.149131
0.924725,-0.098667,0.153579
0.907605,-0.106008,0.160584
0.921171,-0.076655,0.162824
0.849161,-0.051321,0.166755
0.861139,-0.021211,0.168286
0.916440,-0.003633,0.169429
0.972009,0.005100,0.170538
1.008000,0.008969,0.171908
1.023570,0.010699,0.173058
1.024530,0.011676,0.174108
1.017530,0.012156,0.174996
1.141150,0.356456,0.097030
0.864794,0.123303,0.068068
0.871773,0.175420,0.115997
0.985668,-0.019697,0.066582
1.065730,-0.018114,0.063378
1.081080,0.115247,0.083348
1.265110,0.042003,0.121559
1.185080,0.226172,0.058104
0.778646,-0.035054,0.083250
1.014940,-0.001913,0.118764
1.047450,-0.084884,0.110975
1.039550,-0.419473,0.114152
0.811868,0.055645,0.139018
0.753114,0.048199,0.131290
1.054380,0.052535,0.122139
1.325180,0.055045,0.135021
1.231870,0.037954,0.142232
1.038770,0.072664,0.140491
0.917784,0.068011,0.148943
0.968427,0.013205,0.161091
0.919981,-0.002413,0.162018
0.835299,-0.030424,0.167156
0.830851,-0.049493,0.170262
0.875374,-0.060946,0.172624
0.918283,-0.059931,0.174940
0.949121,-0.054085,0.177165
0.967987,-0.047045,0.179196
0.976057,-0.041409,0.180780
0.977107,-0.037206,0.182022
0.898833,0.295699,0.117331
1.074770,-0.067558,0.053696
0.930685,-0.208694,0.103511
0.961850,-0.234318,0.056273
1.031350,-0.152289,0.040560
1.090030,-0.303294,0.098867
0.922443,-0.127837,0.081248
1.252900,0.470194,0.022803
1.040860,-0.192433,0.123719
0.941990,-0.211177,0.110668
1.231810,-0.098365,0.114343
0.918506,-0.146487,0.120854
0.581126,-0.023763,0.113518
0.905458,-0.106530,0.124481
1.017960,-0.078309,0.122828
1.135430,-0.014432,0.152747
1.079660,0.120010,0.146979
1.015130,0.105131,0.156007
1.080350,0.096051,0.158426
1.063610,0.067652,0.165541
1.019710,0.076111,0.167155
0.976606,0.055256,0.173458
0.960991,0.033492,0.178277
0.946001,0.014545,0.182020
0.929586,0.002724,0.184538
0.930374,-0.004782,0.186227
0.943989,-0.010371,0.187377
0.956092,-0.014377,0.188286
0.960013,-0.017370,0.189047
0.983087,-0.102886,0.118872
1.142640,-0.013683,0.045646
0.939936,-0.115082,0.112332
0.980958,-0.147223,0.078780
1.115700,-0.593777,0.015962
1.059960,-0.404522,0.042554
0.628022,-0.368239,-0.040550
1.289630,0.057292,-0.012270
1.370970,-0.108961,0.099055
0.896022,-0.132599,0.092079
1.022420,-0.071850,0.132807
0.920503,0.153368,0.128137
0.742524,-0.167538,0.141239
0.813286,-0.146202,0.145865
0.921131,-0.018207,0.148269
0.929410,-0.013697,0.160230
1.051020,0.134260,0.145541
1.089090,0.027541,0.163138
1.060840,0.055730,0.164615
1.014040,0.032605,0.173957
0.981575,0.065313,0.174229
0.986013,0.059157,0.177409
1.004610,0.056339,0.180113
1.007960,0.039976,0.183744
1.009910,0.023548,0.186983
1.015700,0.006805,0.189793
1.021750,-0.005627,0.191843
1.021870,-0.014802,0.193472
1.013490,-0.021429,0.194802
0.938424,0.096003,0.131769
1.088420,0.351217,0.055507
0.961303,0.161726,0.115118
1.203470,0.103412,0.051427
1.175400,-0.718816,-0.012302
0.951958,-0.101791,-0.042883
0.642255,-0.375460,0.004719
1.113110,-0.464689,0.040603
1.259940,0.021705,0.115892
0.929808,0.062394,0.116888
0.909306,-0.061904,0.136065
1.061920,0.064724,0.127484
0.939455,-0.241719,0.156598
0.659905,-0.152182,0.126024
0.848440,-0.099702,0.142524
