Ux,Uy,p
1.036100,0.023443,0.095424
1.000570,-0.005976,0.089243
0.973912,-0.071590,0.070208
0.898302,0.097733,0.078111
1.061630,-0.077524,0.081345
1.288750,-0.109269,0.092935
0.978649,-0.111558,0.118589
0.896554,-0.075094,0.109298
0.978188,-0.086311,0.119094
1.015960,0.030336,0.125656
1.157230,0.058304,0.122965
0.996635,0.014907,0.131978
1.032380,-0.097026,0.117564
0.932639,-0.025143,0.134157
0.917293,-0.030638,0.137708
1.159710,0.003929,0.142325
1.094760,0.012216,0.144949
0.953649,0.030922,0.148492
0.844113,0.033610,0.151518
0.816258,0.029458,0.154044
0.799986,0.023766,0.156196
0.852916,0.020698,0.158084
0.929660,0.006672,0.159695
0.965731,-0.002488,0.160371
0.967484,-0.008719,0.161070
0.960863,-0.008394,0.161564
0.958509,-0.005694,0.161947
0.962729,-0.001714,0.162176
0.971398,0.002198,0.162280
0.938505,0.023192,0.091240
1.062740,0.104524,0.071014
0.949933,0.127803,0.093666
1.126950,-0.069619,0.075529
1.118750,-0.222807,0.050455
0.710572,0.026278,0.061756
0.944265,0.099144,0.083823
1.098930,0.119520,0.081788
0.909072,-0.016525,0.125025
0.761860,-0.077240,0.120119
0.871511,-0.008018,0.141752
1.266000,0.115723,0.124370
1.046520,0.187391,0.124399
0.939505,0.059177,0.131516
1.038110,-0.023998,0.133812
0.707551,0.001105,0.138155
0.833529,0.049750,0.142168
0.979592,0.036876,0.145361
1.164080,0.021920,0.145977
1.234700,0.007976,0.147033
1.233400,-0.028974,0.149912
1.231760,-0.048576,0.150843
1.186300,-0.041375,0.152486
1.121990,-0.033021,0.154933
1.061060,-0.027646,0.156482
1.012660,-0.028621,0.157174
0.979022,-0.032944,0.157437
0.958145,-0.038416,0.157442
0.946772,-0.043360,0.157377
0.990330,0.072142,0.093526
0.982481,-0.318853,0.083222
1.012800,-0.123920,0.051639
1.147940,0.036027,0.084229
0.997549,0.194952,0.048809
1.043970,0.210450,0.062937
0.928170,-0.166757,0.087635
1.050830,0.001806,0.078629
1.150860,-0.081832,0.100817
0.962483,0.044091,0.086992
0.849016,-0.108495,0.113334
0.707133,-0.021932,0.098745
1.128860,0.128503,0.124936
1.327390,0.096448,0.106767
1.027410,0.091257,0.137469
0.959045,0.051241,0.131663
1.026030,-0.069495,0.144860
1.057050,-0.125053,0.135021
0.928649,-0.130584,0.140925
1.009650,-0.082504,0.149653
1.030150,-0.051499,0.155408
0.904985,-0.001619,0.156255
0.853180,0.029420,0.156589
0.889248,0.052762,0.155588
0.948813,0.065236,0.155028
1.003020,0.069541,0.155571
1.041120,0.068480,0.156585
1.060820,0.063891,0.157918
1.065250,0.057806,0.159261
1.043860,-0.111882,0.091626
1.133110,0.065213,0.058970
0.807356,-0.269115,0.066064
0.932229,-0.062406,0.083072
0.958087,0.187092,0.052820
1.001050,0.059132,0.081483
1.069400,0.198322,0.089961
1.021150,-0.039802,0.099726
0.901816,0.200688,0.115436
0.872939,0.033773,0.126028
0.975703,0.102990,0.136003
0.928990,-0.059666,0.098777
0.843113,-0.213618,0.104110
1.113890,0.128774,0.096210
1.113620,-0.017090,0.155646
1.072190,-0.030749,0.171072
1.211660,0.007743,0.148425
1.162900,0.004198,0.154281
1.009430,0.014339,0.148022
0.995459,-0.019435,0.156423
0.947451,-0.003032,0.154700
0.916530,-0.022985,0.158388
0.925511,-0.036816,0.156479
0.934085,-0.050829,0.155061
0.955996,-0.053602,0.154329
0.989169,-0.051368,0.154615
1.023550,-0.046662,0.156176
1.051250,-0.040937,0.157934
1.069650,-0.035582,0.159625
1.016160,-0.317855,0.086132
1.091770,0.288222,0.072349
1.066110,0.070055,0.040940
0.829399,-0.329466,0.072516
0.957099,-0.043442,0.048903
1.025720,-0.274874,0.056014
1.050120,0.054567,0.079643
1.002680,-0.149793,0.102535
1.039850,0.123868,0.109306
1.057240,-0.186777,0.103950
0.874944,-0.121917,0.101428
1.140150,-0.028596,0.094589
0.739369,-0.056146,0.088132
1.069970,-0.144746,0.121588
1.376290,-0.246382,0.125287
0.853218,-0.255954,0.155195
0.978661,-0.153856,0.149990
1.019370,-0.081973,0.168106
1.023130,-0.057548,0.165522
1.017760,-0.067399,0.170299
1.030200,-0.053123,0.169085
1.005200,-0.075002,0.170987
0.979925,-0.072290,0.170691
0.954110,-0.079480,0.171865
0.959019,-0.083153,0.172343
0.972627,-0.088125,0.172667
0.983883,-0.090157,0.172763
0.989839,-0.089470,0.172982
